author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
"Pete Muntean, Gregory Wallace and Forrest Brown, CNN",US airlines are getting more serious on face mask requirements,"United Airlines and other major carriers say they intend to more strictly enforce mask wearing aboard their planes, including potentially banning passengers who refuse to wear a mask from future flights.",https://www.cnn.com/travel/article/airlines-face-masks-passengers/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200504205708-united-airlines-0320-super-tease.jpg,2020-06-16T01:45:22Z,"(CNN) US airline passengers who figured face mask enforcements had more bark than bite could end up getting bit later this week.
The announcement comes in lieu of a federal regulation requiring all … [+4798 chars]",cnn,CNN
,Rayshard Brooks' widow shares the last moment she saw him,"Rayshard Brooks' widow, Tomika Miller, shares details from the last moments she spent with Brooks, saying she ""wouldn't change that day for anything other than my husband not coming home.""",https://www.cnn.com/videos/us/2020/06/16/tomika-miller-rayshard-brooks-emotional-wish-sot-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/200615203628-tomika-miller-super-tease.jpg,2020-06-16T01:41:12Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,cnn,CNN
"Oscar Holland, CNN",This Chinese tech giant is building a Monaco-sized 'city of the future',"Technology giant Tencent has unveiled plans for an almost entirely car-free ""city of the future,"" equivalent in size to Monaco, in the Chinese metropolis of Shenzhen.",https://www.cnn.com/style/article/tencent-shenzhen-net-city/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200615131006-06-shenzhen-tencent-architecture-super-tease.jpg,2020-06-16T01:16:05Z,"Technology giant Tencent has unveiled plans for an almost entirely car-free ""city of the future,"" equivalent in size to Monaco, in the Chinese metropolis of Shenzhen.
Dubbed ""Net City,"" the 2-millio… [+4851 chars]",cnn,CNN
,Resident: Not much change a century after Black Wall Street,"A 2018 Human Rights Watch report finds that black residents in Tulsa, Oklahoma, are more than twice as likely to be arrested than white residents. CNN's Abby Phillip looks back at Tulsa's racial tension history ahead of President Trump's rally in the city.",https://www.cnn.com/videos/us/2020/06/15/tulsa-police-history-phillip-pkg-lead-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/200615205913-tulsa-black-wall-street-phillip-pkg-super-tease.jpg,2020-06-16T01:03:34Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,cnn,CNN
,"Cooper: Trump believes if you close your eyes, things go away",CNN's Anderson Cooper calls out President Trump over comments he made about coronavirus testing.,https://www.cnn.com/videos/politics/2020/06/16/trump-coronavirus-cases-testing-rally-cooper-ac360-vpx-kth.cnn,https://cdn.cnn.com/cnnnext/dam/assets/200615203658-anderson-cooper-kth-06152020-super-tease.jpg,2020-06-16T01:03:18Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,cnn,CNN
"Allison Morrow, CNN Business",Unsolicited parcels of spiders and other things that don't belong in the mail,"Welcome back to the workweek. Did you zone out staring at YouTube for a few hours? It's OK, I won't tell. Here's all the business news you might have missed while in your ""meeting.""",https://www.cnn.com/2020/06/15/business/business-news-wrap-monday/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200615125500-01-stock-market-0615-japan-super-tease.jpg,2020-06-16T00:52:36Z,,cnn,CNN
"Manu Raju and Clare Foran, CNN",Top Senate Republican pushes back on GOP leaders: 'Bad decision' to wait a month on police reform,Senior Senate Republicans signaled on Monday that the chamber may have to wait at least a month to take up policing overhaul legislation -- a timeline that sparked criticism from the GOP senator leading the effort amid demands across the country for urgent ac…,https://www.cnn.com/2020/06/15/politics/policing-reform-congress-latest/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200611182856-sen-tim-scott-2020-super-tease.jpg,2020-06-16T00:51:57Z,(CNN)Senior Senate Republicans signaled on Monday that the chamber may have to wait at least a month to take up policing overhaul legislation -- a timeline that sparked criticism from the GOP senator… [+7372 chars],cnn,CNN
"Amir Vera and Pierre Meilhan, CNN",A dispatcher and two 911 callers voiced concerns over officer use of force in George Floyd's death,"A dispatcher, off-duty firefighter and unknown caller all raised concerns over Minneapolis police actions.",https://www.cnn.com/2020/06/15/us/george-floyd-dispatch-audio/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200527194814-george-floyd-police-minneapolis-minnesota-dead-protests-00021927-super-tease.jpg,2020-06-16T00:50:45Z,"(CNN)At least two callers and a dispatcher were concerned about Minneapolis police officers' use of force with George Floyd, according to dispatch recordings and transcripts released by the city's po… [+1074 chars]",cnn,CNN
"Barbara Starr and Caroline Kelly, CNN",Esper consulting senior military commanders on how to address racial inequality in armed services,"Secretary of Defense Mark Esper is consulting senior military commanders and department officials about what steps need to be taken to address racial inequality in the military and how to improve representation and opportunities for black service members, sev…",https://www.cnn.com/2020/06/15/politics/esper-military-commanders-racial-equality-armed-services/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200603174056-pano-mark-esper-super-tease.jpg,2020-06-16T00:46:45Z,(CNN)Secretary of Defense Mark Esper is consulting senior military commanders and department officials about what steps need to be taken to address racial inequality in the military and how to improv… [+4853 chars],cnn,CNN
"Paul LeBlanc, CNN",Pelosi says a police 'chokehold is a lynching' and she's confident Republicans will agree to ban them,"House Speaker Nancy Pelosi referred to police chokeholds as ""a lynching"" Monday evening and said she's confident Republican lawmakers will agree to ban them.",https://www.cnn.com/2020/06/15/politics/pelosi-police-reform-chokehold-cnntv/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200515212840-01-house-vote-nancy-pelosi-0515-super-tease.jpg,2020-06-16T00:30:04Z,"(CNN)House Speaker Nancy Pelosi referred to police chokeholds as ""a lynching"" Monday evening and said she's confident Republican lawmakers will agree to ban them. 
Her comments come as Democrats and… [+2759 chars]",cnn,CNN
,Members of chief's SWAT team resigned after she took a knee. Watch her response,"Hallandale Beach Police Chief Sonia Quiñones, who took a knee with protesters, responds to the 10 SWAT members who resigned from their unit, saying they felt unsafely restrained by politics.",https://www.cnn.com/videos/us/2020/06/16/swat-team-resigns-after-police-chief-takes-knee-quinones-sot-ac360-vpx.cnn,https://cdn.cnn.com/cnnnext/dam/assets/200615221123-police-chief-quinones-ac360-super-tease.jpg,2020-06-16T02:51:40Z,Chat with us in Facebook Messenger. Find out what's happening in the world as it unfolds.,cnn,CNN
"Jazmin Goodwin and Laura He, CNN Business",Asian markets rally as volatile week continues,The market volatility is continuing into Asia.,https://www.cnn.com/2020/06/15/investing/global-stocks/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200615222323-02-korea-traders-06032020-super-tease.jpg,2020-06-16T02:32:55Z,,cnn,CNN
"Jazmin Goodwin, CNN Business",Tesla says Model S is the first EV to get 400 miles on a single charge,Tesla says its Model S Long Range Plus is the first electric vehicle to achieve over 400 miles of EPA-rated range.,https://www.cnn.com/2020/06/15/cars/tesla-model-s-first-ev-400-miles/index.html,https://cdn.cnn.com/cnnnext/dam/assets/200615202804-model-s-long-range-plus-super-tease.jpg,2020-06-16T02:31:45Z,,cnn,CNN
