author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Adam Sabes,"Colorado Springs wildfires forces mandatory evacuations, airport was placed under a shelter-in-place order",Wildfires across Colorado Springs forced areas across the city to be placed under a mandatory evacuation on Thursday.,https://www.foxnews.com/us/colorado-springs-wildfires-forces-mandatory-evacuations,https://static.foxnews.com/foxnews.com/content/uploads/2022/05/Untitled-design-151.png,2022-05-13T01:56:46Z,"Multiple wildfires across Colorado Springs forced areas across the city to be placed under a mandatory evacuation on Thursday.
The Altuma fire caused local officials to issue a mandatory evacuation … [+1830 chars]",fox-news,Fox News
Ryan Gaydos,"Jimmy Butler lifts Heat to second conference finals in three seasons, knock out 76ers",Miami finished off the Philadelphia 76ers on the road Thursday night 99-90 to win the series 4-2 and advance for a chance to win the conference championship and get back to the NBA Finals.,https://www.foxnews.com/sports/jimmy-butler-heat-conference-finals-knock-out-76ers,https://static.foxnews.com/foxnews.com/content/uploads/2022/05/Jimmy-Butler6.jpg,2022-05-13T01:56:00Z,"The Miami Heat are back in the Eastern Conference Finals for the second time in three years.
Miami finished off the Philadelphia 76ers on the road Thursday night 99-90 to win the series 4-2 and adva… [+2652 chars]",fox-news,Fox News
Louis Casiano,"LA County DA George Gascon reverses bail policy, will allow exceptions in some cases as criticism mounts","Los Angeles County's top prosecutor has reversed a policy barring his deputy district attorneys from seeking cash bail, which he wanted to eliminate, as criticism of his office continues to mount amid a rise in crime and calls for his ouster.",https://www.foxnews.com/us/la-county-george-gascon-bail,https://static.foxnews.com/foxnews.com/content/uploads/2022/01/Untitled-design-2022-01-29T182444.518.png,2022-05-13T01:51:56Z,"Los Angeles County's top prosecutor has reversed a policy barring his deputy district attorneys from seeking cash bail, which he wanted to eliminate, as criticism of his office continues to mount ami… [+4340 chars]",fox-news,Fox News
Graham Colton,US en route to becoming third-world country: Arizona Senate candidate,"Arizona U.S. Senate candidate Blake Masters warned that the United States is ""on track to be a third-world country"" Thursday on ""Jesse Watters Primetime.""",https://www.foxnews.com/media/united-states-third-world-blake-masters-arizona-senate,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/89210c86-3117-4f00-a093-b564de15c04e/bcb575db-bcde-4ca3-a2e9-65e4f74633fd/1280x720/match/image.jpg,2022-05-13T01:48:47Z,"Arizona U.S. Senate candidate Blake Masters warned that the United States is ""on track to be a third-world country"" Thursday on ""Jesse Watters Primetime.""
""It pains me to say it, but at this current… [+1454 chars]",fox-news,Fox News
Ryan Gaydos,NFL schedule release: Each team's week-by-week opponents,"The NFL released each team's schedule for the 2022 season Thursday night. International games and a Week 2 “Monday Night Football"" doubleheader are among the highlights.",https://www.foxnews.com/sports/nfl-schedule-release-teams-week-by-week-opponents,https://static.foxnews.com/foxnews.com/content/uploads/2022/05/Matthew-Stafford13.jpg,2022-05-13T01:46:50Z,"The NFL released each team's schedule for the 2022 season Thursday night.
Some matchups had already been announced prior to the full reveal, including the Green Bay Packers facing the Dallas Cowboys… [+4109 chars]",fox-news,Fox News
Paul Best,San Antonio-area school district will now allow qualified teachers to carry a concealed firearm on campus,A small school district about 25 miles east of San Antonio will now allow certain qualified teachers and staff members to carry a concealed firearm on campus.,https://www.foxnews.com/us/san-antonio-area-school-district-qualified-teachers-carry-concealed-firearm-on-campus,https://static.foxnews.com/foxnews.com/content/uploads/2022/05/vern-thumb10.jpg,2022-05-13T01:46:12Z,"A small school district about 25 miles east of San Antonio will now allow certain qualified teachers and staff members to carry a concealed firearm on campus. 
The La Vernia Independent School Distr… [+933 chars]",fox-news,Fox News
David Aaro,"Nets' Kyrie Irving talks trolls, drugs, racism and OnlyFans during strange rant on Twitch",Nets star Kyrie Irving appears to have plenty of time on his hands after Brooklyn was swept by the Boston Celtics in the first round of the NBA playoffs last month.,https://www.foxnews.com/sports/nets-kyrie-irving-trolls-drugs-racism-onlyfans-strange-rant-twitch,https://static.foxnews.com/foxnews.com/content/uploads/2022/04/afca9ff9-Kyrie-Irving9.jpg,2022-05-13T01:40:04Z,"Nets star Kyrie Irving appears to have plenty of time on his hands after Brooklyn was swept by the Boston Celtics in the first round of the NBA playoffs last month. 
This week, Irving spent some of … [+4371 chars]",fox-news,Fox News
Jon Brown,'Handmaid's Tale' protesters outside Barrett's house reveal what they would tell her: 'Don't want to be rude',"The protesters who showed up outside Supreme Court Justice Amy Coney Barrett's house in Falls Church, Viriginia, on Wednesday, said it would be “rude” to say anything to her if she emerged from her home.",https://www.foxnews.com/us/handmaids-tale-protesters-outside-barretts-house-reveal-what-they-would-tell-her-dont-want-to-be-rude,https://static.foxnews.com/foxnews.com/content/uploads/2022/05/SCV2.png,2022-05-13T01:36:17Z,"The protesters who showed up outside Supreme Court
 Justice Amy Coney Barrett's house in Falls Church, Virginia
, on Wednesday, told Fox News Digital it would be ""rude"" to say anything to her if sh… [+2587 chars]",fox-news,Fox News
Bradford Betz,NASA scientists grow plants in Apollo lunar soil for the first time: 'Everything sprouted!',"For the first time, scientists have successfully grown plants in lunar soil brought back to Earth by NASA's Apollo astronauts.",https://www.foxnews.com/science/nasa-scientists-grow-plants-apollo-lunar-soil-first-time,https://static.foxnews.com/foxnews.com/content/uploads/2022/05/Lunar-Soil.jpg,2022-05-13T01:32:11Z,"For the first time, scientists have successfully grown plants in lunar soil brought back to Earth by NASA's Apollo astronauts.
Researchers had no idea if anything would sprout in the harsh moon dirt… [+3590 chars]",fox-news,Fox News
Greg Palkot,Acting US ambassador to Fox: 'Ukraine should win this war',"After shuttering the embassy in February, even before the Russians invaded, a core group of diplomats returned ahead of a formal embassy re-opening later this month: the group lead by acting U.S. ambassador to Ukraine Kristina Kvien.",https://www.foxnews.com/world/acting-us-ambassador-to-fox-ukraine-should-win-this-war,https://static.foxnews.com/foxnews.com/content/uploads/2022/05/Screen-Shot-2022-05-12-at-9.27.51-PM.png,2022-05-13T01:29:39Z,"As the war rages in Ukraine, the Americans are back in Kyiv. 
After shuttering the embassy in February, even before the Russians invaded, a core group of diplomats returned ahead of a formal embassy… [+2273 chars]",fox-news,Fox News
Fox News Staff,Kellyanne Conway asks what happened to the Democratic Party's 'youth',Former Trump senior counselor Kellyanne Conway weighed in on President Biden's “anger problems” Thursday on “Jesse Watters Primetime.”,https://www.foxnews.com/media/kellyanne-conway-biden-democratic-party,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/4cf01586-2ffa-4b3d-8636-be4c42074c86/b84de39d-c5f1-47ab-8a5e-aed9da8b9db0/1280x720/match/image.jpg,2022-05-13T01:29:34Z,"Former Trump senior counselor Kellyanne Conway weighed in on President Biden's ""anger problems"" Thursday on ""Jesse Watters Primetime.""
KELLYANNE CONWAY:The Democratic Party prides itself on saying t… [+812 chars]",fox-news,Fox News
Charles Creitz,"Graham defends stance on Ukraine aid, says fate of Taiwan and beyond depends on stopping Putin","Sen. Lindsey Graham, R-S.C., defended his support for U.S. aid to Ukraine, saying Thursday that China is watching how Russia fares and that the world writ large will benefit by Vladimir Putin being stopped.",https://www.foxnews.com/media/lindsey-graham-republican-aid-ukraine-russia,https://static.foxnews.com/foxnews.com/content/uploads/2021/09/graham-.jpeg,2022-05-13T01:20:19Z,"Sen. Lindsey Graham, R-S.C., defended his support for U.S. aid to Ukraine, saying Thursday that China is watching how Russia fares and that the world writ large will benefit by Vladimir Putin being s… [+1995 chars]",fox-news,Fox News
Kelsey Koberg,Taiwan may not have military equipment to defend itself against Chinese invasion warns Rep. McCaul,"House Foreign Affairs Committee Ranking Member Rep. Michael McCaul sounded the alarm on the potential of China's non-military takeover of Taiwan, and what the global ramifications would be.",https://www.foxnews.com/media/taiwan-military-equipment-defend-itself-chinese-invasion-rep-mccaul,https://static.foxnews.com/foxnews.com/content/uploads/2022/02/chinese-president-xi-beijing-winter-olympics.jpg,2022-05-13T01:19:17Z,"Rep. Michael McCaul, R-Texas warned that the United States has been slow in delivering military equipment to Taiwan, leaving the country vulnerable to a Chinese invasion. 
""Putin has always wanted U… [+2791 chars]",fox-news,Fox News
Fox News Staff,Biden doing everything he can to prevent lower gas prices: Hugh Hewitt,The 'Special Report' All-Star Panel sounded off on the Biden administration's handling of inflation Thursday.,https://www.foxnews.com/media/biden-everything-prevent-lower-gas-prices-hugh-hewitt,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/375d2052-e704-4cac-aff4-c904a2039dfb/8ba9ef52-7702-49e1-85cb-a20174793d6f/1280x720/match/image.jpg,2022-05-13T01:04:26Z,"Syndicated radio host Hugh Hewitt said that President Biden is ""throwing every obstacle in the way he can of lowering gas prices"" Thursday on ""Special Report.""
HEWITT: Secretary Yellen actually made… [+1288 chars]",fox-news,Fox News
Charles Creitz,Bongino blasts Democratic opposition to defunding 'Ministry of Truth:' US 'turning into Cuba',Conservative radio host Dan Bongino suggested on Thursday that Democrat opposition to defunding the DHS' newly-minted Disinformation Governance Board are frightened of a GOP effort to protect relevant freedoms enshrined in the Bill of Rights.,https://www.foxnews.com/media/lauren-boebert-jamie-raskin-fight-congress-disinformation-board-jankowicz-bongino,https://static.foxnews.com/foxnews.com/content/uploads/2022/04/DHS-Disinformation-Nina-Jankowicz.jpg,2022-05-13T01:02:17Z,Conservative radio host Dan Bongino suggested on Thursday that Democrat opposition to defunding the DHS' newly-minted Disinformation Governance Board are frightened of a GOP effort to protect relevan… [+2412 chars],fox-news,Fox News
