author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Paul Best,Missing California mother's family has a 'good meeting' with Chula Vista police ahead of update Wednesday,"The family of Maya Millete met with Chula Vista police Monday, more than four months after the missing mother of three disappeared from her home without a trace.",https://www.foxnews.com/us/missing-california-mother-maya-millete-family-chula-vista-police,https://static.foxnews.com/foxnews.com/content/uploads/2021/04/Maya-Millette2.jpg,2021-05-19T01:55:44Z,"The family of Maya Millete met with Chula Vista police Tuesday, more than four months after the missing mother of three disappeared from her home without a trace. 
Richard Drouaillet, Maya's brother… [+2626 chars]",fox-news,Fox News
Brittany De Lea,Missouri AG serves Chinese Communist Party in lawsuit over ‘unleashing’ COVID-19 pandemic,Missouri Attorney General Eric Schmitt on Tuesday said he officially served the Chinese Communist Party and several other groups over the role they allegedly played in the COVID-19 outbreak.,https://www.foxnews.com/politics/missouri-ag-chinese-communist-party-wuhan-lab-covid,https://static.foxnews.com/foxnews.com/content/uploads/2021/03/Eric-Schmitt.jpg,2021-05-19T01:48:27Z,"Missouri Attorney General Eric Schmitt on Tuesday said he officially served the Chinese Communist Party and several other groups over the role they allegedly played in the COVID-19 outbreak.
""I file… [+2234 chars]",fox-news,Fox News
Bradford Betz,"Who is Iris Eytan, attorney representing Barry Morphew","Iris Eytan is one of two attorneys representing Barry Morphew, a Colorado man charged Tuesday in the killing of his wife Suzanne, who disappeared Mother’s Day 2020.",https://www.foxnews.com/us/who-is-iris-eytan-attorney-representing-barry-morphew,https://static.foxnews.com/foxnews.com/content/uploads/2021/05/iris-bio-new.jpeg,2021-05-19T01:45:05Z,"Iris Eytan is one of two attorneys representing Barry Morphew, a Colorado man charged in the killing of his wife Suzanne, who disappeared on Mothers Day 2020. 
The announcement about Morphew's legal… [+2304 chars]",fox-news,Fox News
Stephanie Nolasco,‘Basic Instinct’ star Sharon Stone says she can’t stop ‘director’s XXX cut’ of movie from being released,Sharon Stone recalled how the erotic thriller impacted her over the years.,https://www.foxnews.com/entertainment/sharon-stone-directors-xxx-cut-basic-instinct,https://static.foxnews.com/foxnews.com/content/uploads/2019/11/Basic-Instinct-TriStar-Pictures.jpg,2021-05-19T01:44:45Z,"Sharon Stone may be the star of the 1992 erotic thriller ""Basic Instinct,"" but the actress said shes powerless from having a say in the upcoming re-release of the film.
""They've decided to release t… [+3533 chars]",fox-news,Fox News
Brooke Singman,Senate Republicans call for Biden to restore Trump-era government transparency order,"EXCLUSIVE: Sen. Ron Johnson and 20 Republican senators on Tuesday urged President Biden restore a Trump-era executive order modeled after bipartisan legislation requiring federal agencies to post guidance documents in a searchable database, warning that since…",https://www.foxnews.com/politics/senate-republicans-call-for-biden-to-restore-trump-era-government-transparency-executive-order,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/04a635ff-63af-470f-bf18-15d7af1f2b34/8f9da25d-1631-44de-befe-984dfcdf1958/1280x720/match/image.jpg,2021-05-19T01:32:08Z,EXCLUSIVE: Sen. Ron Johnson and 20 Republican senators on Tuesday urged President Biden restore a Trump-era executive order modeled after bipartisan legislation requiring federal agencies to post gui… [+3303 chars],fox-news,Fox News
Angelica Stabile,Cuomo’s $5.1M profit on COVID ‘leadership’ book sparks outrage on Twitter,New York Gov. Andrew Cuomo is set to make millions on his book deal and critics on social media are fuming.,https://www.foxnews.com/media/cuomos-5-1m-profit-on-covid-leadership-book-sparks-outrage-on-twitter,https://static.foxnews.com/foxnews.com/content/uploads/2021/05/8732b10d-cuomo.jpg,2021-05-19T01:30:40Z,"New York Gov. Andrew Cuomo is set to make more than $5.1 million on his book deal regarding leadership amid the coronavirus pandemic, according to tax returns released Monday, and critics on social m… [+1482 chars]",fox-news,Fox News
New York Post,"Florida woman allegedly crashes children’s birthday party, rapes teen","Jessica Rae Good, 43, was arrested Wednesday after the teen told a staffer at his high school that he was sexually assaulted over the weekend at a home in Port Charlotte after a birthday bash, according to the Charlotte County Sheriff’s Office.",https://www.foxnews.com/us/florida-woman-allegedly-crashes-childrens-birthday-party-rapes-teen,https://static.foxnews.com/foxnews.com/content/uploads/2021/05/Jessica-Good-2.jpg,2021-05-19T01:25:23Z,"A Florida woman crashed a childrens birthday party and allegedly raped a 17-year-old boy in front of another child, authorities said.
Jessica Rae Good, 43, was arrested Wednesday after the teen told… [+2278 chars]",fox-news,Fox News
Daniella Genovese,Youngest UPS driver get his wish delivered as 6-year-old takes the wheel in California,"Thanks to the combined efforts of the Make-a-Wish Foundation, UPS and the community of Stockton, Mateo Toscano's wish became a reality even in the midst of the coronavirus pandemic.",https://www.foxnews.com/us/youngest-ups-driver-get-his-wish-delivered-as-6-year-old-takes-the-wheel-in-california,https://static.foxnews.com/foxnews.com/content/uploads/2021/05/UPS-1.jpg,2021-05-19T01:20:06Z,"A 6-year-old from California who was diagnosed with leukemia in 2017 had a dream to become a UPS driver. 
Thanks to the combined efforts of the Make-a-Wish Foundation, UPS and the community of Stock… [+3551 chars]",fox-news,Fox News
Daniel Canova,Bengals' Joe Burrow is 'all systems go' for regular season opener,"When the Cincinnati Bengals’ 2021 season begins, expect second-year quarterback Joe Burrow to be under center.",https://www.foxnews.com/sports/bengals-joe-burrow-is-all-systems-go-for-regular-season-opener,https://static.foxnews.com/foxnews.com/content/uploads/2020/11/Joe-Burrow2.jpg,2021-05-19T01:19:41Z,"When the Cincinnati Bengals 2021 season begins, expect second-year quarterback Joe Burrow to be under center.
Burrow is ""all systems go"" for the Bengals Week 1 matchup against the Minnesota Vikings,… [+1663 chars]",fox-news,Fox News
Associated Press,Sabonis leads Pacers past Hornets 144-117 in play-in round,"Domantas Sabonis had 14 points, 21 rebounds and nine assists, and the short-handed Indiana Pacers routed the Charlotte Hornets 144-117 in the Eastern Conference’s first play-in game Tuesday night.",https://www.foxnews.com/sports/sabonis-leads-pacers-past-hornets-144-117-in-play-in-round,https://static.foxnews.com/foxnews.com/content/uploads/2021/05/AP21138822963449.jpg,2021-05-19T01:18:13Z,"Domantas Sabonis had 14 points, 21 rebounds and nine assists, and the short-handed Indiana Pacers routed the Charlotte Hornets 144-117 in the Eastern Conferences first play-in game Tuesday night.
Le… [+2905 chars]",fox-news,Fox News
