author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Justin Kroll,Disney developing 'Aladdin' sequel: report,"With new horizons to pursue, “Aladdin” is getting a sequel.",https://www.foxnews.com/entertainment/disney-developing-aladdin-sequel-report,https://static.foxnews.com/foxnews.com/content/uploads/2019/03/Jasmine-Aladdin-2019.jpg,2020-02-13T01:56:52Z,"With new horizons to pursue, “Aladdin” is getting a sequel.
Following the massive success of last summer’s reboot, Disney is developing a follow-up to the film with writers John Gatins and Andrea Berloff.
Sources say the movie is in early development, but a… [+1764 chars]",fox-news,Fox News
Louis Casiano,"Puerto Rico falls for email phishing scam, loses $2.6M, official says","The Puerto Rican government lost $2.6 million in an email phishing scam, which comes as the U.S. territory is still trying to recover from a 13-year recession that has forced the island to initiate tough austerity measures.",https://www.foxnews.com/tech/puerto-rico-falls-for-email-phishing-scam-loses-millions-official-says,https://static.foxnews.com/foxnews.com/content/uploads/2020/02/AP20044004455394.jpg,2020-02-13T01:54:42Z,"The Puerto Rican government lost $2.6 million in an email phishing scam, according to an official.
Rubén Rivera, finance director of the island’s Industrial Development Company, said in court papers filed Wednesday that the agency sent the funds to a fraudul… [+1596 chars]",fox-news,Fox News
Joseph Wulfsohn,CNN reporter accused of 'dismissing' Bloomberg's stop-and-frisk remarks previously worked at Bloomberg Television,"A CNN reporter who claims to be ""unraveling conflicts of interests"" may be finding herself in a conflict of interest of her own.",https://www.foxnews.com/media/cnn-cristina-alesci-michael-bloomberg-television,https://static.foxnews.com/foxnews.com/content/uploads/2020/02/Alescia-Bloomberg.jpg,2020-02-13T01:53:49Z,"A CNN reporter who claims to be ""unraveling conflicts of interests"" may be finding herself in a conflict of interest of her own.
Cristina Alesci, CNN's politics and business correspondent, was slammed on Tuesday for what critics accused her of ""dismissing"" t… [+5152 chars]",fox-news,Fox News
Charles Creitz,"Rep. Dan Crenshaw: Green New Deal alternative based on innovation, not socialism and 'scaring children'","Rep. Dan Crenshaw, R-Texas told Fox News Wednesday that he and other GOP lawmakers have been working on a response to the socialistic ""Green New Deal"" championed by Sens. Bernie Sanders, I-Vt., Edward Markey, D-Mass., and Rep. Alexandria Ocasio-Cortez, D-N.Y.…",https://www.foxnews.com/media/dan-crenshaw-green-new-deal-alternative,https://static.foxnews.com/foxnews.com/content/uploads/2020/02/d601a21a-Video-18.jpg,2020-02-13T01:39:06Z,"Rep. Dan Crenshaw, R-Texas told Fox News Wednesday that he and other GOP lawmakers have been working on a response to the socialistic ""Green New Deal"" championed by Sens. Bernie Sanders, I-Vt., Edward Markey, D-Mass., and Rep. Alexandria Ocasio-Cortez, D-N.Y.… [+2037 chars]",fox-news,Fox News
Ben Shapiro,"Ben Shapiro: Sanders wants us to believe in alternate realities, while Bloomberg wrongly accused of racism","Bernie Sanders, who has produced zero things of consequence for decades but has successfully mooched off the public dime for nearly that entire period, may become president, while Michael Bloomberg, who has produced thousands of jobs and presided over a massi…",https://www.foxnews.com/opinion/ben-shapiro-sanders-wants-us-to-believe-in-alternate-realities-while-bloomberg-wrongly-accused-of-racism,https://media.foxbusiness.com/BrightCove/854081161001/202002/2486/854081161001_6132029273001_6132024597001-vs.jpg,2020-02-13T01:32:22Z,"In 1966, there were 654 murders in New York City. The next year, that number increased by about 100. Then 200. By the mid-1970s, nearly 1,700 people were being murdered every year in New York City. That insane level of violence maintained until the early 1990… [+4925 chars]",fox-news,Fox News
Nate Day,"Pamela Anderson shares message about betrayal, 'pain' following split from husband Jon Peters",Pamela Anderson is looking ahead.,https://www.foxnews.com/entertainment/pamela-anderson-message-betrayal-pain-following-split-jon-peters,https://static.foxnews.com/foxnews.com/content/uploads/2020/01/Pamela-Anderson.jpg,2020-02-13T01:30:09Z,"Pamela Anderson is looking ahead.
The ""Baywatch"" star recently took to her Instagram Story to share a message of encouragement following her split from husband Jon Peters.
""We are all getting our share in this crazy world,"" she wrote. ""As long as we are wre… [+1856 chars]",fox-news,Fox News
Yael Halon,Trey Gowdy: Dems' demands for Barr resignation 'about the dumbest damn thing I've ever heard',Former House Oversight Committee Chairman Trey Gowdy responded Thursday to the outrage by many on the left over  President Trump's defense of Republican political consultant Roger Stone and his agreement that the Justice Department should revise its sentencin…,https://www.foxnews.com/media/trey-gowdy-bill-barr-resignation-roger-stone,https://static.foxnews.com/foxnews.com/content/uploads/2019/05/McCallum-Gowdy-FOX.jpg,2020-02-13T01:30:06Z,Former House Oversight Committee Chairman Trey Gowdy responded Thursday to the outrage by many Democrats over President Trump's defense of Republican political consultant Roger Stone and his agreement that the Justice Department should revise its sentencing r… [+2774 chars],fox-news,Fox News
Nate Day,Jim Carrey criticized for 'unacceptable' remarks about female journalist being on his 'bucket list',Jim Carrey has come under fire.,https://www.foxnews.com/entertainment/jim-carrey-criticized-unacceptable-remarks-female-journalist,https://static.foxnews.com/foxnews.com/content/uploads/2019/03/Jim-Carrey.jpg,2020-02-13T01:24:04Z,"Jim Carrey has come under fire.
The ""Sonic the Hedgehog"" star is facing backlash following an interview with Heat Magazine's Charlotte Long in which he said that she's the only thing left on his ""bucket list.""
In the interview, which Long posted in full on … [+1943 chars]",fox-news,Fox News
Victor Garcia,Bernie Sanders' national campaign co-chair: Trump understands what Bernie is building,"Rep. Ro Khanna, D-Calif., who serves as the national co-chair for the Bernie Sanders presidential campaign, told Fox News Wednesday that President Trump ""actually understands"" the type of campaign Sanders is running and the socialist's ability to defeat him i…",https://www.foxnews.com/media/bernie-sanders-ro-khanna-trump-the-story,https://static.foxnews.com/foxnews.com/content/uploads/2020/02/MacCallumkhana.jpg,2020-02-13T01:17:46Z,"Rep. Ro Khanna, D-Calif., who serves as the national co-chair for the Bernie Sanders presidential campaign, told Fox News Wednesday that President Trump ""actually understands"" the type of campaign Sanders is running and the socialist's ability to defeat him i… [+2088 chars]",fox-news,Fox News
Gerren Keith Gaynor,Late country music legend Gene Autry's ranch estate on sale for $8.2M,The former home of America’s favorite singing cowboy is currently up for sale in California.,https://www.foxnews.com/real-estate/gene-autry-ranch-estate-on-sale,https://static.foxnews.com/foxnews.com/content/uploads/2020/02/Rancho-Autry-15.jpg,2020-02-13T01:15:22Z,"The former estate of America’s favorite singing cowboy, Gene Autry, is currently up for sale in California.
The seven-bedroom, eight-bath property, dubbed “Rancho Autry,” is 13,461 square feet and situated on one of the most prestigious lots in Palm Springs’… [+2188 chars]",fox-news,Fox News
