author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Brittany De Lea,Sen. Tammy Duckworth profusely tweeted about unproven Russian bounty report,"The White House revealed this week it did not have sufficient evidence to support a report repeatedly mentioned by some Democrats, like Sen. Tammy Duckworth, alleging that Russian agents were offering bounties to the Taliban to attack U.S troops in Afghanistan",https://www.foxnews.com/politics/tammy-duckworth-russia-bounties-donald-trump,https://static.foxnews.com/foxnews.com/content/uploads/2020/08/Duckworth-DNC.jpg,2021-04-17T01:45:13Z,"The White House said this week it did not have sufficient evidence to support a report repeatedly mentioned by some Democrats, like Sen. Tammy Duckworth, D-Ill., who alleged that Russian agents had o… [+2878 chars]",fox-news,Fox News
Fox News Staff,"Sonnie Johnson warns GOP to stop 'talking down to Black America', help 'fix the issues' in urban areas","Conservative radio host Sonnie Johnson called out Republicans on ""Fox News Primetime"" Friday, telling host Lawrence Jones people on the right need to quit being ""sanctimonious"" and start implementing policy that can fix inner-city issues.",https://www.foxnews.com/media/sonnie-johnson-warns-gop-to-stop-talking-down-to-black-america-fix-the-issues-plaguing-urban-communities,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/c0e6a715-2338-465c-9e07-7b898eb67527/8a121d54-4ec5-4623-bed6-bd451b09b21e/1280x720/match/image.jpg,2021-04-17T01:38:54Z,"Conservative radio host Sonnie Johnson called out Republicans on ""Fox News Primetime"" Friday, telling host Lawrence Jones people on the right need to quit being ""sanctimonious"" and start implementing… [+3119 chars]",fox-news,Fox News
Julius Young,Queen Elizabeth shares private candid photo of herself with Prince Philip ahead of funeral,"Queen Elizabeth II was just 13 years old when she met the then-18-year-old Prince Philip in 1939. After a years-long courtship, the couple married in 1947 and the rest is history.",https://www.foxnews.com/entertainment/queen-elizabeth-shares-private-candid-photo-prince-philip,https://static.foxnews.com/foxnews.com/content/uploads/2021/04/APprincephilip.jpg,2021-04-17T01:38:44Z,"Queen Elizabeth II is looking back on her life with her late husband of 73 years, Prince Philip who died on April 9 at age 99 ahead of his funeral on Saturday.
The monarch shared a candid throwback … [+3011 chars]",fox-news,Fox News
Fox News Staff,Tucker blasts Utah's Republican governor for defense of 'racist' scholarship program,"Fox News host Tucker Carlson slammed Utah's Republican governor Spencer Cox on ""Tucker Carlson Tonight"" for supporting a college scholarship program created by the NBA's Utah Jazz, that discriminates prospective students based on race",https://www.foxnews.com/media/tucker-blasts-utahs-republican-governor-for-backing-discriminatory-scholarship-program,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/329c8955-fc01-4bf9-90c7-bb3e0c1ff0f7/b9ed63fb-9a2c-45c9-8caa-ffd6491eddf6/1280x720/match/image.jpg,2021-04-17T01:32:37Z,"Fox News host Tucker Carlson slammed Utah's Republican governor Spencer Cox on ""Tucker Carlson Tonight"" for supporting a college scholarship program created by the NBA's Utah Jazz, that discriminates… [+1617 chars]",fox-news,Fox News
Louis Casiano,"Kyle Rittenhouse donations came from police, public officials: report","Kyle Rittenhouse, the Illinois teenager accused of killing two protesters in Wisconsin during a period of civil unrest, has received thousands of dollars in donations for his legal defense from public officials and police officers, according to media reports.",https://www.foxnews.com/us/kyle-rittenhouse-donations-police-public-report,https://static.foxnews.com/foxnews.com/content/uploads/2021/04/AP20304562931194.jpg,2021-04-17T01:22:27Z,"Kyle Rittenhouse, the Illinois teenager accused of killing two protesters in Wisconsin during a period of civil unrest, has received thousands of dollars in donations for his legal defense from publi… [+3169 chars]",fox-news,Fox News
Morgan Phillips,Ted Cruz says he is done with wearing a mask at the Capitol,"Sen. Ted Cruz, R-Texas, says he’s not wearing a mask at the Capitol any more now that he’s vaccinated against Covid-19.",https://www.foxnews.com/politics/ted-cruz-not-wearing-mask-capitol,https://static.foxnews.com/foxnews.com/content/uploads/2021/03/AP21082570715261.jpg,2021-04-17T01:16:58Z,"Sen. Ted Cruz, R-Texas, says hes not wearing a mask at the Capitol anymore, since hes vaccinated against Covid-19.
Cruz joined his Republican colleagues Sen. Rand Paul, R-Ky., and Sen. Roger Marshal… [+2100 chars]",fox-news,Fox News
Julius Young,Why Queen Elizabeth will sit alone at Prince Philip’s funeral,"Queen Elizabeth II will be seated alone as she bereaves the death of her husband of 73 years, Prince Philip, at his funeral on Saturday. The Duke of Edinburgh will be laid to rest at St. George’s Chapel in Windsor Castle. He was 99 when he died on April 9.",https://www.foxnews.com/entertainment/queen-elizabeth-sit-alone-prince-philip-funeral,https://static.foxnews.com/foxnews.com/content/uploads/2020/04/Queen-Elizabeth.jpg,2021-04-17T01:08:59Z,"Queen Elizabeth II will be seated alone as she bereaves the death of her husband of 73 years, Prince Philip, at his funeral on Saturday.
The Duke of Edinburgh will be laid to rest at St. Georges Cha… [+3594 chars]",fox-news,Fox News
Joseph Wulfsohn,Washington Post fact-checker calls out Biden admin for trying to 'spin' refugee cap reversal as 'confusion',"Washington Post fact-checker Glenn Kessler called out the Biden administration Friday for attempting to ""spin"" its stunning reversal on the refugee cap as mere media ""confusion.""",https://www.foxnews.com/media/washington-post-glenn-kessler-biden-refugee-cap-reversal,https://static.foxnews.com/foxnews.com/content/uploads/2021/01/Glenn-Kessler-Washington-Post.jpg,2021-04-17T01:03:48Z,"Washington Post fact-checker Glenn Kessler called out the Biden administration Friday for attempting to ""spin"" its stunning reversal on the refugee cap as mere media ""confusion.""
The White House on … [+1906 chars]",fox-news,Fox News
Michael Ruiz,NYC murder suspect mistakenly released more than a month ago finally caught again,"A murder suspect who authorities mistakenly released from a New York City jail on March 10 has been rearrested, a police source told Fox News Friday.",https://www.foxnews.com/us/nyc-murder-suspect-mistakenly-released-more-than-a-month-ago-finally-caught-again,https://static.foxnews.com/foxnews.com/content/uploads/2021/03/Christopher-Bugs-color-correct.jpg,2021-04-17T00:53:46Z,"A murder suspect who authorities mistakenly released from a New York City jail on March 10 has been rearrested, a police source confirmed to Fox News Friday.
Christopher Buggs, 26, was being held at… [+1975 chars]",fox-news,Fox News
Morgan Phillips,McCarthy issues apparent rebuke of reported GOP caucus platform promoting 'Anglo-Saxon political traditions',"House Minority Leader Kevin McCarthy, R-Calif., said that the Republican party is not the party of “nativist dog whistles,"" in an apparent rebuke of the leaked platform of a new caucus reportedly being formed by several Republicans.",https://www.foxnews.com/politics/mccarthy-gop-caucus-platform-promotes-anglo-saxon-political-traditions,https://static.foxnews.com/foxnews.com/content/uploads/2021/04/McCarthy.jpg,2021-04-17T00:52:12Z,"House Minority Leader Kevin McCarthy, R-Calif., said that the Republican party is not the party of ""nativist dog whistles,"" in an apparent rebuke of the leaked platform of a new caucus reportedly bei… [+2780 chars]",fox-news,Fox News
Mariah Haas,Danica Patrick kisses new man Carter Comstock in adorable beach pics,"On Friday, the retired NASCAR driver took to Instagram to share several photos from a beach outing, one of which features Carter Comstock, who is the co-founder of meal-prep business Freshly.",https://www.foxnews.com/entertainment/danica-patrick-kisses-boyfriend-carter-comstock,https://static.foxnews.com/foxnews.com/content/uploads/2021/04/GettyImages-1141087357.jpg,2021-04-17T00:45:59Z,"Danica Patrick appears to have a new beau in her life.
On Friday, the retired NASCAR driver took to Instagram to share several photos from a beach outing.
In the first pic, the 39-year-old is seen … [+1778 chars]",fox-news,Fox News
