author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
Jon Brown,Hawley reiterates call for Canada to be placed on religious liberty watch list as pastor remains jailed,"Sen. Josh Hawley, R-Mo., reiterated his call for Canada to be placed on a special watch list of religious liberty violators as the country continues to imprison a Christian pastor who addressed the Freedom Convoy on the U.S.-Canada border earlier this month.",https://www.foxnews.com/politics/hawley-reiterates-call-canada-placed-religious-liberty-watch-list-pastor-remains-jailed,https://static.foxnews.com/foxnews.com/content/uploads/2022/02/Hawley-Pawlowski.jpg,2022-02-28T01:21:52Z,"Sen. Josh Hawley, R-Mo., reiterated his call for Canada to be placed on a special watch list of religious liberty violators as a Canadian pastor continues to be jailed after addressing the Freedom Co… [+3982 chars]",fox-news,Fox News
Kristine Parks,"Tom Cotton battles ABC's Stephanopoulos: 'If you want to talk to Trump, have him on your show'","Sen. Tom Cotton, R-Ark. was repeatedly asked Sunday by ABC’s George Stephanopoulos to bash former President Trump during an interview on the U.S. response to Russia invading Ukraine,",https://www.foxnews.com/media/tom-cotton-abc-george-stephanopoulos-ukraine-trump-russia,https://static.foxnews.com/foxnews.com/content/uploads/2021/11/Tom-Cotton.jpg,2022-02-28T01:17:37Z,"Sen. Tom Cotton, R-Ark. was repeatedly asked Sunday by ABCs George Stephanopoulos to bash former President Trump during an interview on the U.S. response to Russia invading Ukraine, 
Cotton urged Pr… [+5275 chars]",fox-news,Fox News
Jon Brown,"Former Miss Grand Ukraine joins Ukrainian military, warns Russian invaders will be killed",The former Miss Grand Ukraine joined the Ukrainian military and has warned that anyone who crosses the border with the intention of invading will be killed.,https://www.foxnews.com/world/former-miss-grand-ukraine-joins-ukrainian-military-warns-russian-invaders-will-be-killed,https://static.foxnews.com/foxnews.com/content/uploads/2022/02/ukraine-flag.png,2022-02-28T01:07:34Z,"The former Miss Grand Ukraine reportedly joined the Ukrainian military and has warned that anyone who crosses the border with the intention of invading will be killed.
Anastasia Lenna, a beauty quee… [+2042 chars]",fox-news,Fox News
Associated Press,Kyle Larson wins California NASCAR race at Fontana,"Kyle Larson won the NASCAR Cup Series race at Fontana for the second time on Sunday, holding off Austin Dillon and Daniel Suarez in the closing laps.",https://www.foxnews.com/auto/kyle-larson-wins-california-nascar-fontana,https://static.foxnews.com/foxnews.com/content/uploads/2022/02/font-1.jpg,2022-02-28T00:59:23Z,"Defending NASCARCup Series champion Kyle Larson held off Austin Dillon and Daniel Suarez in a tense finish Sunday to win at Fontana for the second time.
After starting at the rear under penalty, Lar… [+4347 chars]",fox-news,Fox News
David Aaro,"Airspace over Ukraine still being contested amid Russian invasion, senior US defense official says","The airspace over Ukraine is still being contested as Ukrainian forces continue to fight back against the Russian invasion, according to a senior U.S. defense official on Sunday.",https://www.foxnews.com/world/airspace-over-ukraine-still-contested-senior-us-defense-official,https://static.foxnews.com/foxnews.com/content/uploads/2022/02/AP22058725867651.jpg,2022-02-28T00:54:44Z,"The airspace over Ukraine is still being contested as Ukrainian forces continue to fight back against the Russian invasion, according to a senior U.S. defense official on Sunday. 
""That means that t… [+3885 chars]",fox-news,Fox News
Fox News,PHOTOS: Ukraine crisis: Four days of war against Russian's aggression leaves apocalyptic aftermath,,https://www.foxnews.com/world/photos-ukraine-crisis-four-days-of-war-against-russians-aggression-leaves-apocalyptic-aftermath,https://static.foxnews.com/foxnews.com/content/uploads/2022/02/Ukraine-8.jpg,2022-02-28T00:04:38Z,"<ul><li>PHOTOS: Ukraine crisis: Four days of war against Russian's aggression leaves apocalyptic aftermath
</li><li>
</li><li>
</li><li>
</li><li>
</li><li>
</li><li>
</li><li>
</li><li>
</l… [+26 chars]",fox-news,Fox News
Fox News,"PHOTOS: DC protesters express support for Ukrainians, call for tougher sanctions",,https://www.foxnews.com/us/photos-dc-protesters-express-support-for-ukrainians-call-for-tougher-sanctions,https://static.foxnews.com/foxnews.com/content/uploads/2022/02/DC-In-Support-Of-Ukraine-11.jpg,2022-02-28T00:03:41Z,"<ul><li>PHOTOS: DC protesters express support for Ukrainians, call for tougher sanctions
</li><li>
</li><li>
</li><li>
</li><li>
</li><li>
</li><li>
</li><li>
</li><li>
</li><li>
</li><li>… [+19 chars]",fox-news,Fox News
Tyler O'Neil,Footage appears to show Ukrainian drone destroying Russian missile system,"A Ukrainian official released footage on Sunday, appearing to show a drone taking out a Russian missile system.",https://www.foxnews.com/world/footage-appears-to-show-ukrainian-drone-destroying-russian-missile-system,https://static.foxnews.com/foxnews.com/content/uploads/2022/02/Reuters-Ukraine.jpg,2022-02-28T03:20:24Z,"A Ukrainian official released footage on Sunday, appearing to show a drone taking out a Russian missile system.
The Russian invasion of Ukraine continued for a fifth day on Monday, Feb. 28. Ukrainia… [+808 chars]",fox-news,Fox News
Fox News,'The Ingraham Angle' on Russian troops heading towards Kyiv,"'The Ingraham Angle' welcomed guests Tom Cotton, Walid Phares, Justin Hedges, Alex Goncharenko, Chris Swecker, Gordon Chang, Mike Pillsbury and Jeremy Hunt",https://www.foxnews.com/transcript/ingraham-angle-on-russian-troops-heading-towards-kyiv,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/8b89adf3-36b7-4cc0-8c54-00fe1d26e87a/27cb8f6e-9302-4039-824c-71ac3eaa8e9a/1280x720/match/image.jpg,2022-02-28T03:17:52Z,"This is a rush transcript of ""The Ingraham Angle"" on February 24, 2022. This copy may not be in its final form and may be updated.
LAURA INGRAHAM, FOX NEWS HOST: Welcome to THE INGRAHAM ANGLE. Tonig… [+47051 chars]",fox-news,Fox News
Fox News,'Hannity' on explosions in Kyiv,"Sean Hannity welcomed guests Marco Rubio, Michael Waltz, Bryan Stern and Mark Meadows",https://www.foxnews.com/transcript/hannity-on-explosions-in-kyiv,https://cf-images.us-east-1.prod.boltdns.net/v1/static/694940094001/2fd190a1-82a0-42f6-a70f-30369f3caeff/d3f9b6ce-220b-43f7-bc29-e46e743d7536/1280x720/match/image.jpg,2022-02-28T03:16:00Z,"This is a rush transcript of ""Hannity"" on February 24, 2022. This copy may not be in its final form and may be updated.
SEAN HANNITY, FOX NEWS HOST: All right, Tucker. Thank you.
Welcome to HANNITY… [+57819 chars]",fox-news,Fox News
