test2020-01-09 14:29:01,650 - __main__ - INFO - Retrieving the-new-york-times from newsapi.org
2020-01-09 15:23:28,338 - headline_collector - INFO - collected data
2020-01-09 15:23:28,338 - headline_collector - INFO - requesting from 2019-12-20T08:00:00 to 2019-12-20T11:59:59
2020-01-09 15:23:28,338 - headline_collector - INFO - page: 1
2020-01-09 15:23:29,005 - headline_collector - INFO - collected data
2020-01-09 15:23:29,005 - headline_collector - INFO - requesting from 2019-12-20T12:00:00 to 2019-12-20T15:59:59
2020-01-09 15:23:29,005 - headline_collector - INFO - page: 1
2020-01-09 15:23:29,692 - headline_collector - INFO - collected data
2020-01-09 15:23:29,693 - headline_collector - INFO - page: 2
2020-01-09 15:23:30,364 - headline_collector - INFO - collected data
2020-01-09 15:23:30,364 - headline_collector - INFO - page: 3
2020-01-09 15:23:30,955 - headline_collector - INFO - collected data
2020-01-09 15:23:30,956 - headline_collector - INFO - requesting from 2019-12-20T16:00:00 to 2019-12-20T19:59:59
2020-01-09 15:23:30,956 - headline_collector - INFO - page: 1
2020-01-09 15:23:31,621 - headline_collector - INFO - collected data
2020-01-09 15:23:31,622 - headline_collector - INFO - page: 2
2020-01-09 15:23:32,275 - headline_collector - INFO - collected data
2020-01-09 15:23:32,276 - headline_collector - INFO - page: 3
2020-01-09 15:23:32,970 - headline_collector - INFO - collected data
2020-01-09 15:23:32,970 - headline_collector - INFO - requesting from 2019-12-20T20:00:00 to 2019-12-20T23:59:59
2020-01-09 15:23:32,971 - headline_collector - INFO - page: 1
2020-01-09 15:23:33,614 - headline_collector - INFO - collected data
2020-01-09 15:23:33,614 - headline_collector - INFO - page: 2
2020-01-09 15:23:34,292 - headline_collector - INFO - collected data
2020-01-09 15:23:34,293 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:23:34,293 - headline_collector - INFO - requesting from 2019-12-20T00:00:00 to 2019-12-20T03:59:59
2020-01-09 15:23:34,293 - headline_collector - INFO - page: 1
2020-01-09 15:23:35,308 - headline_collector - INFO - collected data
2020-01-09 15:23:35,309 - headline_collector - INFO - page: 2
2020-01-09 15:23:35,858 - headline_collector - INFO - collected data
2020-01-09 15:23:35,858 - headline_collector - INFO - requesting from 2019-12-20T04:00:00 to 2019-12-20T07:59:59
2020-01-09 15:23:35,858 - headline_collector - INFO - page: 1
2020-01-09 15:23:36,706 - headline_collector - INFO - collected data
2020-01-09 15:23:36,706 - headline_collector - INFO - requesting from 2019-12-20T08:00:00 to 2019-12-20T11:59:59
2020-01-09 15:23:36,706 - headline_collector - INFO - page: 1
2020-01-09 15:23:37,403 - headline_collector - INFO - collected data
2020-01-09 15:23:37,404 - headline_collector - INFO - page: 2
2020-01-09 15:23:38,089 - headline_collector - INFO - collected data
2020-01-09 15:23:38,089 - headline_collector - INFO - requesting from 2019-12-20T12:00:00 to 2019-12-20T15:59:59
2020-01-09 15:23:38,090 - headline_collector - INFO - page: 1
2020-01-09 15:23:38,794 - headline_collector - INFO - collected data
2020-01-09 15:23:38,795 - headline_collector - INFO - page: 2
2020-01-09 15:23:39,444 - headline_collector - INFO - collected data
2020-01-09 15:23:39,445 - headline_collector - INFO - requesting from 2019-12-20T16:00:00 to 2019-12-20T19:59:59
2020-01-09 15:23:39,445 - headline_collector - INFO - page: 1
2020-01-09 15:23:40,166 - headline_collector - INFO - collected data
2020-01-09 15:23:40,166 - headline_collector - INFO - page: 2
2020-01-09 15:23:40,715 - headline_collector - INFO - collected data
2020-01-09 15:23:40,716 - headline_collector - INFO - requesting from 2019-12-20T20:00:00 to 2019-12-20T23:59:59
2020-01-09 15:23:40,716 - headline_collector - INFO - page: 1
2020-01-09 15:23:41,414 - headline_collector - INFO - collected data
2020-01-09 15:23:41,415 - headline_collector - INFO - page: 2
2020-01-09 15:23:42,097 - headline_collector - INFO - collected data
2020-01-09 15:23:42,098 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:23:42,098 - headline_collector - INFO - requesting from 2019-12-21T00:00:00 to 2019-12-21T03:59:59
2020-01-09 15:23:42,098 - headline_collector - INFO - page: 1
2020-01-09 15:23:42,782 - headline_collector - INFO - collected data
2020-01-09 15:23:42,783 - headline_collector - INFO - requesting from 2019-12-21T04:00:00 to 2019-12-21T07:59:59
2020-01-09 15:23:42,783 - headline_collector - INFO - page: 1
2020-01-09 15:23:43,464 - headline_collector - INFO - collected data
2020-01-09 15:23:43,464 - headline_collector - INFO - requesting from 2019-12-21T08:00:00 to 2019-12-21T11:59:59
2020-01-09 15:23:43,464 - headline_collector - INFO - page: 1
2020-01-09 15:23:44,142 - headline_collector - INFO - collected data
2020-01-09 15:23:44,143 - headline_collector - INFO - requesting from 2019-12-21T12:00:00 to 2019-12-21T15:59:59
2020-01-09 15:23:44,143 - headline_collector - INFO - page: 1
2020-01-09 15:23:44,796 - headline_collector - INFO - collected data
2020-01-09 15:23:44,797 - headline_collector - INFO - page: 2
2020-01-09 15:23:45,349 - headline_collector - INFO - collected data
2020-01-09 15:23:45,349 - headline_collector - INFO - requesting from 2019-12-21T16:00:00 to 2019-12-21T19:59:59
2020-01-09 15:23:45,349 - headline_collector - INFO - page: 1
2020-01-09 15:23:46,037 - headline_collector - INFO - collected data
2020-01-09 15:23:46,038 - headline_collector - INFO - page: 2
2020-01-09 15:23:46,568 - headline_collector - INFO - collected data
2020-01-09 15:23:46,568 - headline_collector - INFO - requesting from 2019-12-21T20:00:00 to 2019-12-21T23:59:59
2020-01-09 15:23:46,568 - headline_collector - INFO - page: 1
2020-01-09 15:23:47,124 - headline_collector - INFO - collected data
2020-01-09 15:23:47,125 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:23:47,125 - headline_collector - INFO - requesting from 2019-12-21T00:00:00 to 2019-12-21T03:59:59
2020-01-09 15:23:47,125 - headline_collector - INFO - page: 1
2020-01-09 15:23:47,809 - headline_collector - INFO - collected data
2020-01-09 15:23:47,810 - headline_collector - INFO - requesting from 2019-12-21T04:00:00 to 2019-12-21T07:59:59
2020-01-09 15:23:47,810 - headline_collector - INFO - page: 1
2020-01-09 15:23:48,382 - headline_collector - INFO - collected data
2020-01-09 15:23:48,382 - headline_collector - INFO - requesting from 2019-12-21T08:00:00 to 2019-12-21T11:59:59
2020-01-09 15:23:48,382 - headline_collector - INFO - page: 1
2020-01-09 15:23:49,077 - headline_collector - INFO - collected data
2020-01-09 15:23:49,077 - headline_collector - INFO - page: 2
2020-01-09 15:23:49,602 - headline_collector - INFO - collected data
2020-01-09 15:23:49,603 - headline_collector - INFO - requesting from 2019-12-21T12:00:00 to 2019-12-21T15:59:59
2020-01-09 15:23:49,603 - headline_collector - INFO - page: 1
2020-01-09 15:23:50,289 - headline_collector - INFO - collected data
2020-01-09 15:23:50,290 - headline_collector - INFO - requesting from 2019-12-21T16:00:00 to 2019-12-21T19:59:59
2020-01-09 15:23:50,290 - headline_collector - INFO - page: 1
2020-01-09 15:23:50,972 - headline_collector - INFO - collected data
2020-01-09 15:23:50,973 - headline_collector - INFO - requesting from 2019-12-21T20:00:00 to 2019-12-21T23:59:59
2020-01-09 15:23:50,973 - headline_collector - INFO - page: 1
2020-01-09 15:23:51,533 - headline_collector - INFO - collected data
2020-01-09 15:23:51,534 - headline_collector - INFO - Splitting into 6 intervals
2020-01-09 15:23:51,534 - headline_collector - INFO - requesting from 2019-12-22T00:00:00 to 2019-12-22T03:59:59
2020-01-09 15:23:51,534 - headline_collector - INFO - page: 1
2020-01-09 15:23:52,091 - headline_collector - INFO - collected data
2020-01-09 15:23:52,091 - headline_collector - INFO - requesting from 2019-12-22T04:00:00 to 2019-12-22T07:59:59
2020-01-09 15:23:52,092 - headline_collector - INFO - page: 1
2020-01-09 15:23:52,640 - headline_collector - INFO - collected data
2020-01-09 15:23:52,641 - headline_collector - INFO - requesting from 2019-12-22T08:00:00 to 2019-12-22T11:59:59
2020-01-09 15:23:52,641 - headline_collector - INFO - page: 1
2020-01-09 15:23:53,283 - headline_collector - INFO - collected data
2020-01-09 15:23:53,284 - headline_collector - INFO - requesting from 2019-12-22T12:00:00 to 2019-12-22T15:59:59
2020-01-09 15:23:53,284 - headline_collector - INFO - page: 1
2020-01-09 15:23:53,948 - headline_collector - INFO - collected data
2020-01-09 15:23:53,948 - headline_collector - INFO - page: 2
