author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
By Robert D. McFadden,"Newton N. Minow, F.C.C. Chief Who Deemed TV a ‘Vast Wasteland,’ Dies at 97",His stunning declaration caused an instant sensation when he made it in 1961 and ignited a national debate over Americans’ viewing habits.,https://www.nytimes.com/2023/05/06/business/media/newton-n-minow-dead.html,https://static01.nyt.com/images/2020/03/24/obituaries/00minow/00minow-articleLarge.jpg,2023-05-06T19:49:53+0000,"Newton N. Minow, who as President John F. Kennedy’s new F.C.C. chairman in 1961 sent shock waves through an industry and touched a nerve in a nation addicted to banality and mayhem by calling American television “a vast wasteland,” died on Saturday at his home in Chicago . He was 97. ",the-new-york-times,The New York Times
By Matthew Futterman,Erika Kemp Wants to See More Runners Who Look Like Her,"Kemp, who had a solid marathon debut in Boston during a race with racial controversy on the sidelines, did not run cross-country until college. “There wasn’t anyone that looked like me.”",https://www.nytimes.com/2023/05/06/sports/erika-kemp-marathon-boston.html,https://static01.nyt.com/images/2023/05/06/multimedia/06running-kemp1-gczj/06running-kemp1-gczj-articleLarge.jpg,2023-05-06T09:00:17+0000,The video of local police officers forming a bicycle blockade in front of a group of Black supporters during this year’s Boston Marathon seemed to highlight once again some unpleasant truths about running in America.,the-new-york-times,The New York Times
By Nicholas Nehamas and Alexandra Glorioso,"DeSantis to Visit Wisconsin, a 2024 Battleground, as He Circles Trump","The Florida governor, who has slipped in polls as his expected entrance to the presidential race nears, is moving beyond early nominating states like Iowa and New Hampshire.",https://www.nytimes.com/2023/05/06/us/politics/desantis-wisconsin-2024-president.html,https://static01.nyt.com/images/2023/05/06/multimedia/06pol-desantis-midwest-fzct/06pol-desantis-midwest-fzct-articleLarge.jpg,2023-05-06T07:00:08+0000,"Gov. Ron DeSantis of Florida is expanding his political travel as his poll numbers slip ahead of an expected presidential campaign, visiting rural north-central Wisconsin on Saturday in a sign of his intent to compete for voters beyond early nominating states like Iowa.",the-new-york-times,The New York Times
By Maureen Dowd,Supremely Arrogant,Are these men interpreting the law or settling scores?,https://www.nytimes.com/2023/05/06/opinion/supremely-arrogant.html,https://static01.nyt.com/images/2023/05/06/multimedia/06Dowd-3-vhjw/06Dowd-3-vhjw-articleLarge.jpg,2023-05-06T11:00:08+0000,WASHINGTON — The Supreme Court is still great.,the-new-york-times,The New York Times
By Natasha Frost,Your Coronation Briefing,A special edition on King Charles III.,https://www.nytimes.com/2023/05/06/briefing/king-charles-coronation.html,https://static01.nyt.com/images/2023/05/06/multimedia/06ambriefing-europe-nl-coronation-vgtc/06ambriefing-europe-nl-coronation-vgtc-articleLarge.jpg,2023-05-06T05:00:08+0000,"This morning, King Charles III will be crowned as sovereign of the United Kingdom in the nation’s first coronation in 70 years.",the-new-york-times,The New York Times
By Melissa Kirsch,It’s Coronation Day,Come for the crown jewels and gold stagecoach; stay for the questions about the monarchy’s relevance.,https://www.nytimes.com/2023/05/06/briefing/king-charles-iii-coronation-day.html,https://static01.nyt.com/images/2023/05/06/multimedia/06-THE-MORNING-NL/06-THE-MORNING-NL-articleLarge.jpg,2023-05-06T09:32:48+0000,"On the “how interested are you in the royal family?” spectrum, which runs from antipathy to adoration, I’m in the mildly curious range: I know who the major players are; I watched the Harry and Meghan documentary but not “The Crown.” I cannot help but feel some affinity with a person (Queen Elizabeth II) who allegedly invented an indisputably adorable dog breed (the dorgi, a cross between a dachshund and a Welsh corgi).",the-new-york-times,The New York Times
By Constant Méheut,‘It’s in Our Culture’: Serbia Reflects on Gun Ownership Tradition After Shootings,"Back-to-back massacres have forced the country, still in mourning, to grapple with its complicated and long gun tradition.",https://www.nytimes.com/2023/05/06/world/europe/serbia-shootings-gun-reckoning.html,https://static01.nyt.com/images/2023/05/06/multimedia/06serbia-shooting-btwl/06serbia-shooting-btwl-articleLarge.jpg,2023-05-06T14:21:28+0000,"In Serbia, where guns are so prolific they are a regular part of wedding and birthday celebrations, two mass shootings in two days have led to a reckoning about the role of deadly weapons in the culture.",the-new-york-times,The New York Times
By Joe Sexton,A Tragedy in Omaha,Some tragedies can offer communities a chance to heal together. But that’s hard in 21st-century America.,https://www.nytimes.com/2023/05/06/opinion/omaha-jacob-gardner-james-scurlock.html,https://static01.nyt.com/images/2023/05/06/opinion/06Sexton-Digital/06Sexton-Digital-articleLarge.jpg,2023-05-06T11:23:02+0000,"OMAHA — By nightfall on May 30, 2020, Jake Gardner was inside his nightclub in Omaha’s Old Market district. He had handguns and a shotgun.",the-new-york-times,The New York Times
By Neil MacFarquhar and Anton Troianovski,"Car Bombing Injures Prominent Russian Nationalist Writer, State Media Reports","Zakhar Prilepin, who himself fought in eastern Ukraine, has long advocated an imperialist foreign policy by Moscow.",https://www.nytimes.com/2023/05/06/world/europe/russia-prilepin-bombing.html,https://static01.nyt.com/images/2023/05/06/multimedia/06russia-bombing-prilepin-01-chgj/06russia-bombing-prilepin-01-chgj-articleLarge.jpg,2023-05-06T10:58:56+0000,"A car bombing on Saturday seriously wounded a prominent Russian nationalist and novelist, while killing his driver, state media reported, one of a series of internal attacks that are spreading a sense of disarray even as the country gears up to celebrate its most important annual military holiday.",the-new-york-times,The New York Times
By Caitlin Lovinger,Sea Change,Will Nediger’s Sunday puzzle evolves as it’s solved.,https://www.nytimes.com/2023/05/06/crosswords/daily-puzzle-2023-05-07.html,https://static01.nyt.com/images/2023/05/07/multimedia/07wordplay-mastiff-qbft/07wordplay-mastiff-qbft-articleLarge.jpg,2023-05-06T22:00:05+0000,Jump to: Tricky Clues | Today’s Theme,the-new-york-times,The New York Times
By Sopan Deb,Nothing Is Bigger Than Stephen Curry vs. LeBron James,"Curry and James are meeting in the playoffs, perhaps for the last time. Together and apart, they have redefined a generation of basketball.",https://www.nytimes.com/2023/05/06/sports/basketball/nba-lebron-james-stephen-curry.html,https://static01.nyt.com/images/2023/05/07/multimedia/07nba-playoffs-curry-james-02-tqvm/07nba-playoffs-curry-james-02-tqvm-articleLarge-v3.jpg,2023-05-06T14:00:20+0000,"Tim Hardaway knows stars when he sees them. Hardaway, a Hall of Fame point guard, battled against his share of them, including Michael Jordan, during a 14-year N.B.A. career.",the-new-york-times,The New York Times
By Paul Sonne and Andrew E. Kramer,"As Putin Bides His Time, Ukraine Faces a Ticking Clock",Ukraine is feeling short-term pressure from its Western backers for success in a looming counteroffensive. Vladimir Putin seems to be operating on a longer timeline.,https://www.nytimes.com/2023/05/06/world/europe/ukraine-counteroffensive-russia.html,https://static01.nyt.com/images/2023/05/06/multimedia/06ukraine-stakes-btpl/06ukraine-stakes-btpl-articleLarge.jpg,2023-05-06T09:37:17+0000,"Both armies have tanks, artillery and tens of thousands of soldiers ready to face off on the battlefields of Ukraine in a long-anticipated Ukrainian counteroffensive against Russia. But one thing clearly sets the two sides apart: time.",the-new-york-times,The New York Times
By Alex Travelli and Suhasini Raj,Dozens Killed in Ethnic Clashes in India’s Manipur State,Violence erupted over a question of who gets to claim special tribal status.,https://www.nytimes.com/2023/05/06/world/asia/ethnic-clashes-indias-manipur-state.html,https://static01.nyt.com/images/2023/05/06/multimedia/06india-unrest-zfvb/06india-unrest-zfvb-articleLarge.jpg,2023-05-06T14:02:25+0000,"Clashes between rival ethnic groups in Manipur, a remote state in India’s northeast, have reportedly killed dozens of people in recent days, and the situation remains volatile, even as the authorities rush troops to the area to quell the disorder and seek to control the flow of information.",the-new-york-times,The New York Times
By Christopher Barnard,A Senior Tradition You Might Not Know About,"Senior cords, which feature hand-drawn details, first appeared on campuses in Indiana. Now there are high-fashion takes.",https://www.nytimes.com/2023/05/06/style/bode-aujla-senior-cords-purdue-university.html,https://static01.nyt.com/images/2023/05/06/multimedia/06BODE-SENIORCORD-01-bfvg/06BODE-SENIORCORD-01-bfvg-articleLarge.jpg,2023-05-06T09:00:14+0000,The fashion designer Emily Adams Bode Aujla bought her first pair of senior corduroy pants from a vintage-clothing seller in 2013 when she was a senior at the New School. The pants style had by then been around for more than a century.,the-new-york-times,The New York Times
By New York Times Games,Spelling Bee Forum,Feeling stuck on today’s puzzle? We can help.,https://www.nytimes.com/2023/05/06/crosswords/spelling-bee-forum.html,https://static01.nyt.com/images/2023/05/06/crosswords/06bee-forum-sat/06bee-forum-sat-articleLarge.jpg,2023-05-06T07:00:04+0000,"SATURDAY — Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below. For more Spelling Bee conversation, check out Deb Amlen’s weekly humor column, “Diary of a Spelling Bee Fanatic.”",the-new-york-times,The New York Times
By Ivan Penn and Peter Eavis,"Backup Power: A Growing Need, if You Can Afford It",Extreme weather linked to climate change is causing more blackouts. But generators and batteries are still out of reach for many.,https://www.nytimes.com/2023/05/06/business/energy-environment/backup-power-generators-climate-change.html,https://static01.nyt.com/images/2023/05/03/multimedia/00energy-divide-05/01-gpkl-articleLarge.jpg,2023-05-06T09:00:23+0000,"When frigid weather caused rolling blackouts on Christmas Eve across North Carolina, Eliana and David Mundula quickly grew worried about their 2½-week-old daughter, whom they had brought home days earlier from a neonatal intensive care unit.",the-new-york-times,The New York Times
