author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
By Michael Paterniti,"Seeking Enlightenment, He Disappeared Into a Hiker’s Bermuda Triangle","In “Lost in the Valley of Death,” Harley Rustad follows the long and winding road that led Justin Alexander Shetler to India’s Parvati Valley.",https://www.nytimes.com/2022/01/21/books/review/lost-in-the-valley-of-death-harley-rustad.html,https://static01.nyt.com/images/2022/02/13/books/review/11Paterniti/11Paterniti-articleLarge.jpg,2022-01-21T10:00:03+0000,LOST IN THE VALLEY OF DEATHA Story of Obsession and Danger in the HimalayasBy Harley Rustad,the-new-york-times,The New York Times
By Michael Levenson,"Brian Laundrie Claimed Responsibility for Gabrielle Petito’s Death, F.B.I. Says","The agency, closing a high-profile case, said that a notebook found near Mr. Laundrie’s body included statements in which he confessed to killing his fiancée.",https://www.nytimes.com/2022/01/21/us/gabby-petito-brian-laundrie-notebook-confession.html,https://static01.nyt.com/images/2022/01/21/multimedia/21xp-petito1/21xp-petito1-articleLarge.jpg,2022-01-21T22:50:13+0000,"Brian Laundrie claimed responsibility for killing his fiancée, Gabrielle Petito, the Federal Bureau of Investigation said on Friday, as it prepared to close a case that had galvanized social media and prompted widespread sleuthing by amateur detectives.",the-new-york-times,The New York Times
By Jeff Sommer,How Much Stock Is Too Much in Retirement?,"Stocks and bonds are core investments. Now, Vanguard is suggesting that retirees willing and able to bear the risk may want a stock target of 50 percent.",https://www.nytimes.com/2022/01/21/business/retirement-stocks-vanguard.html,https://static01.nyt.com/images/2022/01/21/business/21Strategies-illo-web/21Strategies-illo-web-articleLarge.jpg,2022-01-21T14:00:08+0000,"The stock market can provide eye-popping returns but can also be counted on to produce big losses. High-quality bonds, on the other hand, typically generate modest returns but are better for income and relative stability.",the-new-york-times,The New York Times
By David Leonhardt,Will Climate Action Happen Now?,More Democrats are focusing on it.,https://www.nytimes.com/2022/01/21/briefing/climate-change-bill-democrats.html,https://static01.nyt.com/images/2022/01/21/multimedia/21ambriefing-promo/21ambriefing-climate03-articleLarge-v2.jpg,2022-01-21T11:35:48+0000,"Politicians, journalists and activists all like to use the phrase “last, best chance” when talking about the climate. As in: The Glasgow climate conference is the world’s last, best chance to avoid terrible climate destruction. Or: The U.S. now faces its last, best chance to address the climate crisis.",the-new-york-times,The New York Times
By Emma Goldberg,You Quit. I Quit. We All Quit. And It’s Not a Coincidence.,Why the decision to leave a job can become contagious.,https://www.nytimes.com/2022/01/21/business/quitting-contagious.html,https://static01.nyt.com/images/2022/01/23/business/00quit-spread-01/merlin_200584617_b44575a4-7886-4e95-afe9-2617831280e7-articleLarge.jpg,2022-01-21T16:00:08+0000,Something infectious is spreading through the work force. Its symptoms present in a spate of two-week notices. Its transmission is visible in real time. And few bosses seem to know how to inoculate their staff against this quitagion.,the-new-york-times,The New York Times
By Jamelle Bouie,Republicans Think There Is a ‘Takeover’ Happening. They Have Some Reading to Do.,Conservatives can’t pick and choose which parts of the Constitution they like.,https://www.nytimes.com/2022/01/21/opinion/constitution-voting-rights.html,https://static01.nyt.com/images/2022/01/23/opinion/21bouie_4/merlin_200021223_d9e7e4de-8179-4b21-a77e-74d7a28cc06a-articleLarge.jpg,2022-01-21T10:00:24+0000,"Much of what’s in the Constitution is vague, imprecise or downright unclear. But some parts are very straightforward.",the-new-york-times,The New York Times
By Matthew Futterman,"For Nadal and His Contemporaries, It Is About Winning, and Quickly","Dropping only one set in the first week of the Australian Open gave the 20-time Grand Slam champion, at age 35, energy for later in the tournament. Aging tennis stars, take note.",https://www.nytimes.com/2022/01/21/sports/tennis/australian-open-nadal-monfils-murray.html,https://static01.nyt.com/images/2022/01/22/sports/21aus-aging1-print/merlin_200675820_c8e010a6-38b2-4623-b26e-5b0b950229ba-articleLarge.jpg,2022-01-21T20:51:31+0000,Rafael Nadal knew something had to change.,the-new-york-times,The New York Times
By Amy Chang Chien,Suspect Charged in Taiwan’s Deadly ‘Ghost Building’ Fire,"Prosecutors say the suspect, seeking revenge on her partner after a quarrel, poured hot ashes on a sofa. The resulting fire killed 46 people.",https://www.nytimes.com/2022/01/21/world/asia/taiwan-fire-ghost-building-suspect.html,https://static01.nyt.com/images/2022/01/21/world/21taiwan-fire-01/merlin_196265544_5234170a-49f7-428f-9369-a1857365adbf-articleLarge.jpg,2022-01-21T14:04:47+0000,"TAIPEI, Taiwan — Taiwanese prosecutors on Friday formally charged a suspect with homicide and arson in the case of an October fire that killed 46 and injured dozens.",the-new-york-times,The New York Times
By Maria Cramer,Court Battle Over a Ventilator Takes a Patient From Minnesota to Texas,"Scott Quiner, who was unvaccinated and hospitalized with Covid-19, had been on a ventilator for weeks when doctors told his wife they would be taking him off the machine.",https://www.nytimes.com/2022/01/21/us/scott-quiner-covid-ventilator.html,https://static01.nyt.com/images/2022/01/19/multimedia/19xp-ventilator-hospital/19xp-ventilator-hospital-articleLarge-v2.jpg,2022-01-21T13:51:33+0000,"Scott Quiner, an operations manager at a transportation company in Minnesota, became sick with Covid-19 in October.",the-new-york-times,The New York Times
By Julie Creswell,How Much Are You Willing to Pay for a Burrito?,The pandemic has led to the largest price spikes at fast-food restaurants in two decades.,https://www.nytimes.com/2022/01/21/business/fast-food-prices-inflation.html,https://static01.nyt.com/images/2022/01/18/business/00Foodprices-01/merlin_200386851_27050118-42de-4f2d-b67d-e91cdbf85510-articleLarge.jpg,2022-01-21T10:00:21+0000,"On a chilly Tuesday afternoon this month, James Marsh stopped by a Chipotle near his suburban Chicago home to grab something to eat.",the-new-york-times,The New York Times
By Adam Liptak,Supreme Court to Consider Limits of Ruling for Native Americans in Oklahoma,But the justices rejected a request from state officials to revisit a 2020 ruling that much of eastern Oklahoma falls within an Indian reservation.,https://www.nytimes.com/2022/01/21/us/politics/supreme-court-native-americans-oklahoma.html,https://static01.nyt.com/images/2022/01/10/us/politics/00dc-scotus-oklahoma/merlin_199233987_e7f8428d-742a-4f72-bef8-ce33f90bcf3e-articleLarge.jpg,2022-01-21T22:14:36+0000,WASHINGTON — The Supreme Court agreed on Friday to decide a question left open by its landmark 2020 decision declaring that much of eastern Oklahoma falls within an Indian reservation. But the justices rejected a request to consider overruling the decision entirely.,the-new-york-times,The New York Times
By Elisabeth Vincentelli,One Opera Opening Would Make Any Composer Happy. He Has Two.,Ricky Ian Gordon’s “Intimate Apparel” and “The Garden of the Finzi-Continis” are premiering in New York almost simultaneously.,https://www.nytimes.com/2022/01/21/arts/music/ricky-ian-gordon-intimate-apparel-opera.html,https://static01.nyt.com/images/2022/01/23/arts/23GORDON-1/merlin_200251413_41df9a96-c1a5-4480-a87c-2b59fb0c6ad0-articleLarge.jpg,2022-01-21T10:00:24+0000,"When the composer Ricky Ian Gordon saw Stephen Sondheim’s “Follies” on Broadway in the early 1970s, it was unlike anything he’d watched on a stage.",the-new-york-times,The New York Times
By Alexis Soloski,Review: ‘Addressless’ Is on the Streets and in Your Home,This hybrid of theater and game asks us to consider homelessness empathetically but can’t overcome the friction between education and entertainment.,https://www.nytimes.com/2022/01/21/theater/addressless-review.html,https://static01.nyt.com/images/2022/01/22/arts/21ADDRESSLESS1A/21ADDRESSLESS1A-articleLarge.png,2022-01-21T12:00:06+0000,"In June, after a series of court battles, 60-some men were moved out of the Lucerne, an Upper West Side hotel that had served as a shelter during the first year of the pandemic. Their presence had divided the neighborhood, with some residents starting a Facebook group to complain about how the men had decreased their quality of life, even as there was no discernible uptick in the local crime rate.",the-new-york-times,The New York Times
By Paul Krugman,"Wonking Out: Honey, I Shrank the Economy’s Capacity",Why the trend has not been our friend.,https://www.nytimes.com/2022/01/21/opinion/inflation-us-economy-biden.html,https://static01.nyt.com/images/2022/01/21/multimedia/21krugman-newsletter_1/21krugman-newsletter_1-articleLarge.jpg,2022-01-21T20:30:15+0000,"Back in 2010 a group of conservative academics, economists and money managers signed an open letter warning that the efforts of the Federal Reserve to support the economy would be dangerously inflationary. But the inflation never came. So four years later Bloomberg reached out to as many of the signatories as they could, to ask what happened.",the-new-york-times,The New York Times
"By Andrew Ross Sorkin, Jason Karaian, Sarah Kessler, Stephen Gandel, Michael J. de la Merced, Lauren Hirsch and Ephrat Livni",When Pandemic Stars’ Shines Dim,Shares in Netflix and Peloton soared in the early part of the pandemic. Now they’re tumbling.,https://www.nytimes.com/2022/01/21/business/dealbook/netflix-peloton-stocks.html,https://static01.nyt.com/images/2022/01/21/multimedia/21db-newsletter-netflix/21db-newsletter-netflix-articleLarge.jpg,2022-01-21T13:27:48+0000,"The future path of the pandemic is uncertain, but investors may have already made up their minds about the prospects for companies that had prospered months earlier. Netflix and Peloton plunged late in the day yesterday, on signs that “stay at home” stocks, which were already under pressure, could take a turn for the worse as people begin to venture out again.",the-new-york-times,The New York Times
