author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
By David Yaffe-Bellany and Matthew Goldstein,"Caroline Ellison, Star Witness at FTX Trial, Is Sentenced to 2 Years in Prison","A top adviser to Sam Bankman-Fried, the disgraced founder of FTX, Ms. Ellison pleaded guilty to conspiring with him to steal $8 billion and became a crucial witness for the prosecution.",https://www.nytimes.com/2024/09/24/technology/caroline-ellison-ftx-sentence.html,https://static01.nyt.com/images/2024/09/24/multimedia/24ellison-sentencing-sub-kzfw/24ellison-sentencing-sub-kzfw-articleLarge.jpg,2024-09-24T20:17:43+0000,"Caroline Ellison, a former top adviser to the cryptocurrency mogul Sam Bankman-Fried, was sentenced to two years in prison on Tuesday for her role in the $8 billion fraud that led to the implosion of the once high-flying FTX crypto exchange.",the-new-york-times,The New York Times
By The New York Times Books Staff,What Are People Saying About the New Sally Rooney Book?,"“Intermezzo,” the Irish novelist’s fourth novel, is one of this fall’s most anticipated books.",https://www.nytimes.com/2024/09/24/books/review/intermezzo-sally-rooney-review-roundup.html,https://static01.nyt.com/images/2024/09/24/multimedia/24rooney-reviews-mczv/24rooney-reviews-mczv-articleLarge.jpg,2024-09-24T15:10:09+0000,"Seven years into her writing career, a new book by Sally Rooney is all but guaranteed to be an event.",the-new-york-times,The New York Times
By Lincoln Michel,What if Jurors Could See Life Through the Defendants’ Eyes?,Jesse Ball’s Kafkaesque novel imagines a legal system that deploys a shockingly personal device.,https://www.nytimes.com/2024/09/24/books/review/jesse-ball-the-repeat-room.html,https://static01.nyt.com/images/2024/09/24/books/24jesse-ball-600/24jesse-ball-600-articleLarge.jpg,2024-09-24T09:01:27+0000,"No one enjoys jury duty, but few will find the process as harrowing as Abel Cotter does. In a dystopian future, Abel is summoned with others to undergo a series of bizarre tests that assess their worth as potential judges: “Only one person will be left, one fit person.” The chosen will enter the mysterious “repeat room” and render a verdict for the defendant.",the-new-york-times,The New York Times
By Reid J. Epstein,Inside a Kamala Harris Ad Promoting Her Economic Plans,"Polls show voters want to know more about what she would do. This ad, running across the battlegrounds, gives answers.",https://www.nytimes.com/2024/09/24/us/politics/kamala-harris-ad-economy.html,https://static01.nyt.com/images/2024/09/24/multimedia/24pol-adwatch-harris-promo-zjhq/24pol-adwatch-harris-promo-zjhq-articleLarge.jpg,2024-09-24T13:59:26+0000,"Vice President Kamala Harris’s presidential campaign is running versions of this 60-second ad, titled “Different Visions” — with the same audio but different images — on stations in each of the seven battleground states and in Omaha. The campaign has spent $2.3 million on the ad since early September, according to AdImpact.",the-new-york-times,The New York Times
By Elian Peltier,Russia Signs Satellite Deal With Three West African Military Juntas,"The partnership between Russia’s space agency and the governments of Burkina Faso, Mali and Niger deepens these countries’ turn toward the Kremlin in their effort to fight off Islamist insurgencies.",https://www.nytimes.com/2024/09/24/world/africa/russia-satellite-west-africa.html,https://static01.nyt.com/images/2024/09/24/multimedia/24africa-russia-chqf/24africa-russia-chqf-articleLarge.jpg,2024-09-24T16:43:22+0000,Russia will deploy telecommunications and remote-sensing satellites over three West African countries led by military juntas that had already cut ties with American and European allies and turned toward the Kremlin for military support to contain Islamist insurgents.,the-new-york-times,The New York Times
By Lisa Friedman,Biden Boasts of Climate Wins and Warns of Reversals Under Trump,"At an event in New York, the president said federal investments in climate action would be at risk if former President Donald J. Trump retook the White House.",https://www.nytimes.com/2024/09/24/climate/biden-bloomberg-climate-trump.html,https://static01.nyt.com/images/2024/09/24/multimedia/24cli-biden-ghwb/24cli-biden-ghwb-articleLarge.jpg,2024-09-24T22:25:51+0000,"President Biden on Tuesday celebrated his record overseeing historic action to fight climate change and warned that the Republican trying to succeed him, Donald J. Trump, would unwind those accomplishments and condemn “future generations to a more dangerous world.”",the-new-york-times,The New York Times
,Is Paying Kids to Read a Wise Strategy?,Readers discuss an essay by a parent who gave her daughter a $100 reward. Also: Donald Trump and the psychiatrists; a second debate; heartland immigrants.,https://www.nytimes.com/2024/09/24/opinion/reading-kids-parents.html,https://static01.nyt.com/images/2024/09/05/opinion/02silcoff-copy/02silcoff-articleLarge.jpg,2024-09-24T15:04:58+0000,To the Editor:,the-new-york-times,The New York Times
By Alexandra E. Petri and Hisako Ueno,Earthquake Off Japan Coast Triggers Tsunami Advisory,"The earthquake occurred off the coast of Torishima Island, which is uninhabited, at 8:14 a.m. on Tuesday, according to the Japan Meteorological Agency. The advisory was lifted at 11 a.m.",https://www.nytimes.com/2024/09/23/world/asia/japan-earthquake-tsunami.html,https://static01.nyt.com/images/2024/09/23/multimedia/23xp-stunami/23xp-stunami-articleLarge.jpg,2024-09-24T00:28:42+0000,"An earthquake off the coast of Japan on Tuesday morning triggered tsunami advisories for residents across several remote islands, according to the authorities.",the-new-york-times,The New York Times
By Michelle Goldberg,A Leading Law Scholar Fears We’re Lurching Toward Secession,Can we fix the Constitution before it destroys us?,https://www.nytimes.com/2024/09/23/opinion/electoral-college-presidential-election.html,https://static01.nyt.com/images/2024/09/23/multimedia/23goldberg1-bwmj/23goldberg1-bwmj-articleLarge.jpg,2024-09-24T00:05:06+0000,Here’s how rickety our constitutional system has become: The fate of the 2024 election could hang on the integrity of a single Republican state senator in Nebraska.,the-new-york-times,The New York Times
By Tina Isaac-Goizé,The Most Famous Cafe in Paris Preps for a New Generation,"For Les Deux Magots, 2024 is more than a milestone.",https://www.nytimes.com/2024/09/24/style/les-deux-magots-cafe-paris.html,https://static01.nyt.com/images/2024/09/18/multimedia/DEUX-MAGOTS-05-gqhm/DEUX-MAGOTS-05-gqhm-articleLarge.jpg,2024-09-24T09:01:02+0000,"Les Deux Magots began as the Colette of the mid-19th century, a purveyor of silks and notions, fashion and accessories to a stylish clientele. Eclipsed by the rise of department stores, it reopened in 1884 as a modest cafe and liquor counter.",the-new-york-times,The New York Times
By Michelle Cottle,The Senate May Come Down to a Blue State Surprise,How party control of the Senate may come down to Maryland Democrats taking a big gamble.,https://www.nytimes.com/2024/09/24/opinion/larry-hogan-angela-alsobrooks-maryland-senate.html,https://static01.nyt.com/images/2024/09/21/multimedia/00cottle-A-01-zjpv/00cottle-A-01-zjpv-articleLarge.jpg,2024-09-24T09:05:09+0000,“I don’t think I’m going to be the 51st vote.”,the-new-york-times,The New York Times
By Peter Eavis,A Looming East Coast Port Strike Could Shake the Economy,"Businesses are preparing for a strike by dockworkers on the East and Gulf Coasts, which could begin Oct. 1 if negotiations don’t yield a new contract.",https://www.nytimes.com/2024/09/24/business/economy/port-strike-economy.html,https://static01.nyt.com/images/2024/09/23/multimedia/PORTS-PREP-12-kvwj/PORTS-PREP-12-kvwj-articleLarge.jpg,2024-09-24T09:05:08+0000,"With dockworkers on the East and Gulf Coasts threatening to strike on Oct. 1, businesses have been accelerating imports, redirecting cargo and pleading with the Biden administration to prevent a walkout.",the-new-york-times,The New York Times
By Edward Wong and Farnaz Fassihi,"Zelensky Addresses the Security Council, Calling for Attention to Stay on Ukraine",“Russia can only be forced into peace.” President Volodymyr Zelensky of Ukraine urged the Council members to sustain their backing for his country’s resistance to Russia’s full-scale invasion.,https://www.nytimes.com/2024/09/24/world/europe/zelensky-un-security-council-ukraine-war.html,https://static01.nyt.com/images/2024/09/24/multimedia/24unga-live-security-council-vklj/24unga-live-security-council-vklj-articleLarge.jpg,2024-09-24T20:46:10+0000,"President Volodymyr Zelensky of Ukraine told the United Nations Security Council on Tuesday that “Russia can only be forced into peace” and urged that the Russia-Ukraine war not be overlooked as the world turned its attention to wars in Gaza, Sudan and Myanmar.“Russia is committing an international crime,” Mr. Zelensky said in a short but impassioned speech. “This war can’t simply fade away, this war can’t be calmed by talks. Actions are needed. Russia can only be forced into peace.”Mr. Zelensky also told the council’s 15 members that Ukraine had obtained information that Russia was planning to attack its three nuclear plants. “We have proof of this, if Russia is ready to go that far, it means nothing you value matters to Moscow,” he said.",the-new-york-times,The New York Times
