author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
By Adam Nossiter,"Antônio Meneses, Lyrical Brazilian Cellist, Is Dead at 66","He began playing as a child and quickly found success for his technical command and, as one critic put it, his “thoughtful elegance.”",https://www.nytimes.com/2024/09/01/arts/music/antonio-meneses-dead.html,https://static01.nyt.com/images/2024/09/03/multimedia/30Meneses-06-zwmv/30Meneses-06-zwmv-articleLarge.jpg,2024-09-01T16:16:04+0000,"Antônio Meneses was 10 when he and his four brothers were recruited for the Rio Municipal Theater Orchestra. Their father, a French horn player in Rio de Janeiro, decided that his children should play string instruments to increase their employment odds.",the-new-york-times,The New York Times
By Kyle Buchanan,"In Venice, George Clooney Talks President Biden and American Politics","He also addressed the release plan for his new movie, “Wolfs,” co-starring Brad Pitt.",https://www.nytimes.com/2024/09/01/movies/george-clooney-biden-apple-wolfs.html,https://static01.nyt.com/images/2024/09/01/multimedia/01venice-clooney-blft/01venice-clooney-blft-articleLarge.jpg,2024-09-01T16:36:05+0000,"Midway through a Venice news conference for the crime caper “Wolfs,” one reporter told George Clooney that she would ask the question on everyone’s minds.",the-new-york-times,The New York Times
By Chris Cameron,"Others Have Politicized Arlington, but Trump’s Approach Has No Precedent",Donald J. Trump isn’t the first candidate to run afoul of the ban on partisan activity in Arlington National Cemetery. But no one else has responded as hostilely as his campaign has.,https://www.nytimes.com/2024/09/01/us/politics/trump-arlington-cemetery-army.html,https://static01.nyt.com/images/2024/09/01/multimedia/01pol-arlington-zpjf/01pol-arlington-zpjf-articleLarge.jpg,2024-09-01T09:01:43+0000,Follow the latest updates on the Harris and Trump campaigns.,the-new-york-times,The New York Times
By Sarah Lyall,"3 Moody, Terror-Laced New Thrillers","Our columnist on new books from T.J. Newman, Andrea Mara and A.E. Gauntlett.",https://www.nytimes.com/2024/09/01/books/review/new-thriller-novels.html,https://static01.nyt.com/images/2024/08/28/books/review/THRILLERS-AUGUST/THRILLERS-AUGUST-articleLarge.jpg,2024-09-01T09:00:35+0000,"Nobody wants to think there might be SOMEONE IN THE ATTIC (Pamela Dorman Books, 355 pp., $29). Andrea Mara’s latest book opens in Dublin as a woman named Anya finishes a bottle of wine, settles into her bath and hears an ominous rustling overhead. She doesn’t stand a chance. “Thirty seconds later, it’s over,” Mara writes.",the-new-york-times,The New York Times
By New York Times Games,"Wordle Review No. 1,171","Scroll down for hints and conversation about the puzzle for September 2, 2024.",https://www.nytimes.com/2024/09/01/crosswords/wordle-review-1171.html,https://static01.nyt.com/images/2024/09/02/crosswords/02wordle-review-art-1171/02wordle-review-art-1171-articleLarge.jpg,2024-09-01T10:00:02+0000,"Welcome to The Wordle Review. Be warned: This page contains spoilers for today’s puzzle. Solve Wordle first, or scroll at your own risk.",the-new-york-times,The New York Times
By Gaya Gupta,Monday Briefing: Thousands Protest in Israel,"Plus, the Great Lego Spill of 1997.",https://www.nytimes.com/2024/09/01/briefing/israeli-election-afd.html,https://static01.nyt.com/images/2024/09/02/multimedia/02ambriefing-asia-nl-gjmf/02ambriefing-asia-nl-gjmf-articleLarge.jpg,2024-09-01T20:57:03+0000,"Six hostages were found dead in southern Gaza over the weekend, prompting a furious reaction among Israelis who blamed the country’s prime minister, Benjamin Netanyahu, for failing to secure a deal that would have released those remaining in captivity. ",the-new-york-times,The New York Times
,Quotation of the Day: Colorado to Move Wolves After Animal Attacks,"Quotation of the Day for Sunday, September 1, 2024.",https://www.nytimes.com/2024/09/01/pageoneplus/quotation-of-the-day-colorado-to-move-wolves-after-animal-attacks.html,,2024-09-01T04:04:10+0000,"“If a wolf wanders in and kills a cow or calf, that’s tolerable. But when they set up camp and repeatedly depredate on livestock, that’s the problem.”",the-new-york-times,The New York Times
By New York Times Games,Spelling Bee Forum,Feeling stuck on today’s puzzle? We can help.,https://www.nytimes.com/2024/09/01/crosswords/spelling-bee-forum.html,https://static01.nyt.com/images/2024/09/01/crosswords/01bee-forum/01bee-forum-articleLarge.jpg,2024-09-01T07:00:03+0000,"Hi busy bees! Welcome to today’s Spelling Bee forum. There are a number of terms that appear in both this article and other online discussions of the Spelling Bee; a glossary of those terms compiled by Monicat, a Times reader, can be found below.",the-new-york-times,The New York Times
"By Adam Rasgon, Gabby Sobelman, Vivek Shankar and Thomas Fuller",Discovery of 6 Dead Hostages in Gaza Spurs Protest and Division in Israel,The Israeli military said Sunday that Hamas had killed the hostages before they were discovered by Israeli troops on Saturday.,https://www.nytimes.com/2024/09/01/world/middleeast/israel-gaza-hostages-ceasefire.html,https://static01.nyt.com/images/2024/09/01/multimedia/01mideast-crisis-ledeall-qjtf/01mideast-crisis-ledeall-qjtf-articleLarge.jpg,2024-09-01T23:28:29+0000,"The Israeli military said on Sunday that six bodies found in a tunnel under the Gaza Strip belonged to hostages who had been killed by Hamas, setting off a wave of grief and anger in Israel and further cleaving the deep divisions among the public, and the country’s leaders, over the future course of the war.",the-new-york-times,The New York Times
By Bill Friskics-Warren,"Pete Wade, Guitarist on Countless Nashville Hits, Dies at 89",His clean tone and less-is-more approach made him a studio stalwart and a pioneer of what came to be known as the Nashville Sound.,https://www.nytimes.com/2024/09/01/arts/music/pete-wade-dies.html,https://static01.nyt.com/images/2024/09/02/multimedia/31Wade-01-mwpz/31Wade-01-mwpz-articleLarge.jpg,2024-09-01T13:57:50+0000,"Pete Wade, a prolific and versatile Nashville studio guitarist who played on scores of blockbuster hits — including Ray Price’s “Crazy Arms” and Sonny James’s “Young Love,” two of the most popular country records of the middle to late 1950s — died on Wednesday at his daughter’s home in Hendersonville, Tenn., near Nashville. He was 89.",the-new-york-times,The New York Times
