author,title,description,url,urlToImage,publishedAt,content,source.id,source.name
By MIKE CATALINI Associated Press,Trump rally rouses New Jersey shore town to life,"WILDWOOD, N.J. (AP) — Winter typically leaves many parts of New Jersey’s shore deserted, complete with blinking traffic lights and shuttered boardwalk shops, but President Donald Trump’s rally for Rep. Jeff Van Drew jolted Wildwood to life on Tuesday, with…",https://apnews.com/f9f32c5dce4209702bc6e35c5b1898ef,https://bloximages.newyork1.vip.townnews.com/richmond.com/content/tncms/assets/v3/editorial/5/dc/5dc9aae4-e66c-5d43-912a-e002f368a02c/5e30eace23f1f.image.jpg?crop=1763%2C992%2C0%2C91&resize=1120%2C630&order=crop%2Cresize,2020-01-29T01:57:44Z,"WILDWOOD, N.J. (AP) Winter typically leaves many parts of New Jerseys shore deserted, complete with blinking traffic lights and shuttered boardwalk shops, but President Donald Trumps rally for Rep. Jeff Van Drew jolted Wildwood to life Tuesday, with rally-goe… [+3152 chars]",associated-press,Associated Press
,Mexico suspends activist visits to migrant detention centers,"MEXICO CITY (AP) — The Mexican government said Tuesday it has temporarily suspended visits by civic, activist and religious groups to migrant detention centers.",https://apnews.com/24db4676c4adf1b0456184b346580881,https://bloximages.newyork1.vip.townnews.com/richmond.com/content/tncms/custom/image/6a12cdcc-99eb-11e9-910a-20677ce06c14.jpg?resize=600%2C600,2020-01-29T01:55:40Z,"MEXICO CITY (AP) The Mexican government said Tuesday it has temporarily suspended visits by civic, activist and religious groups to migrant detention centers.
Such visits have long served as a safeguard to check on the treatment of migrants, some of whom hav… [+973 chars]",associated-press,Associated Press
,California parents indicted in death of 4-year-old son,"PALMDALE, Calif. (AP) — A father and mother who told authorities they found their 4-year-old son motionless in a Southern California community pool have been indicted on murder and torture charges in the boy's death, prosecutors said.",https://apnews.com/6177b66009f635d81afbffb8f1ee237f,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/custom/image/00f1ee32-f2d0-11e6-9926-f7249dbfe53a.jpg,2020-01-29T01:52:14Z,"PALMDALE, Calif. (AP) A father and mother who told authorities they found their 4-year-old son motionless in a Southern California community pool have been indicted on murder and torture charges in the boy's death, prosecutors said.
The indictment was return… [+1191 chars]",associated-press,Associated Press
,Murder trial set for Carson Indian Colony killing Dec. 2019,"RENO, Nev. (AP) — A 51-year-old member of a Nevada tribe has been ordered to stand trial in federal court in Reno in April for murder in the killing of a man on the Carson Indian Colony in December 2019.",https://apnews.com/f25b53bf9e399db1753a1b8101abd8c8,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/custom/image/00f1ee32-f2d0-11e6-9926-f7249dbfe53a.jpg,2020-01-29T01:49:39Z,"RENO, Nev. (AP) A 51-year-old member of a Nevada tribe has been ordered to stand trial in federal court in Reno in April for murder in the killing of a man on the Carson Indian Colony in December 2019.
Steve Bryan is accused of shooting 23-year-old Kyle Sull… [+1039 chars]",associated-press,Associated Press
By MIKE FITZPATRICK AP Sports Writer,"No. 8 Villanova, minus Samuels, trounces St. John's 79-59","NEW YORK (AP) — Saddiq Bey scored 23 points, Collin Gillespie had 17 points and 13 rebounds, and No. 8 Villanova won its seventh straight game, easily handling St. John's 79-59 on Tuesday night at Madison Square Garden.",https://apnews.com/a8d24d635721ead06ed43e72a0a06682,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/8/59/859e6874-cefc-5352-9c1b-89b7ecb4f293/5e30e761639cd.image.jpg?crop=1763%2C992%2C0%2C92&resize=1120%2C630&order=crop%2Cresize,2020-01-29T01:45:44Z,"NEW YORK (AP) Saddiq Bey scored 23 points, Collin Gillespie had 17 points and 13 rebounds, and No. 8 Villanova won its seventh straight game, easily handling St. John's 79-59 on Tuesday night at Madison Square Garden.
Justin Moore, starting for injured forwa… [+1111 chars]",associated-press,Associated Press
,Autopsy: San Diego County jail inmate killed himself,"SAN DIEGO (AP) — An inmate who died at a San Diego County jail last summer killed himself, authorities said Tuesday.",https://apnews.com/132137a84da431269228931a87aaa111,https://bloximages.newyork1.vip.townnews.com/roanoke.com/content/tncms/custom/image/00f1ee32-f2d0-11e6-9926-f7249dbfe53a.jpg,2020-01-29T01:41:07Z,"SAN DIEGO (AP) An inmate who died at a San Diego County jail last summer killed himself, authorities said Tuesday.
Julio Ortiz Lopez, 48, was found in his cell at Vista Detention Facility on Aug. 26 and pronounced dead a short time later after attempts to re… [+803 chars]",associated-press,Associated Press
By CONOR LOBB Capital News Service,Families support third Virginia Beach shooting investigation,"RICHMOND, Va. (AP) — Some families of Virginia Beach mass shooting victims spoke Tuesday in support of a new bill to create an independent commission to investigate the crime, which left 12 dead and four injured.",https://apnews.com/c49d8fc568c7257cefdd840c3b97ee0e,https://bloximages.newyork1.vip.townnews.com/richmond.com/content/tncms/custom/image/6a12cdcc-99eb-11e9-910a-20677ce06c14.jpg?resize=600%2C600,2020-01-29T01:22:26Z,"RICHMOND, Va. (AP) Some families of Virginia Beach mass shooting victims spoke Tuesday in support of a new bill to create an independent commission to investigate the crime, which left 12 dead and four injured.
Virginia Beach Dels. Kelly K. Convirs-Fowler an… [+3954 chars]",associated-press,Associated Press
,"Moreland stays with Red Sox, gets $3 million contract","BOSTON (AP) — First baseman Mitch Moreland is staying with the Boston Red Sox, agreeing Tuesday to a one-year contract that guarantees $3 million.",https://apnews.com/e2e39d6db472076c53add96503672818,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/custom/image/4ce82390-59b2-11e6-a3c5-b77ec6e8d16d.png?resize=600%2C517,2020-01-29T01:21:24Z,"BOSTON (AP) First baseman Mitch Moreland is staying with the Boston Red Sox, agreeing Tuesday to a one-year contract that guarantees $3 million.
Moreland gets a $2.5 million salary this year, and Boston has a $3 million team option for 2021 with a $500,000 b… [+1061 chars]",associated-press,Associated Press
By LAURIE KELLMAN Associated Press,Impeachment gives Romney a chance to assert Senate clout,"WASHINGTON (AP) — It’s Mitt Romney’s big moment, again.",https://apnews.com/e08720b63e5f67571adf9bacc8220267,https://bloximages.newyork1.vip.townnews.com/tulsaworld.com/content/tncms/assets/v3/editorial/3/f4/3f4584aa-94bd-5b6e-bfc9-622456676c40/5e30e0769569a.image.jpg?crop=1763%2C992%2C0%2C91&resize=1120%2C630&order=crop%2Cresize,2020-01-29T01:21:20Z,"WASHINGTON (AP) Its Mitt Romneys big moment, again.
The 2012 Republican presidential nominee has for a year been a freshman senator from Utah. He's sitting in judgment of the president he has called unfit for office. And he's defying President Donald Trump b… [+5024 chars]",associated-press,Associated Press
,Costa Rica downs Panama 6-1 in Olympic qualifying tournament,HOUSTON (AP) — Melissa Herrera and Priscilla Chinchilla each scored two goals and Costa Rica beat Panama 6-1 on Tuesday to open the CONCACAF Women's Olympic Qualifying tournament.,https://apnews.com/c123e381643eea34149805c4a24f88b8,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/assets/v3/editorial/b/d4/bd44cbce-d965-521f-809c-83345e152a7b/5e30e3a4efda1.image.jpg?crop=1763%2C992%2C0%2C91&resize=1120%2C630&order=crop%2Cresize,2020-01-29T01:21:02Z,"HOUSTON (AP) Melissa Herrera and Priscilla Chinchilla each scored two goals and Costa Rica beat Panama 6-1 on Tuesday to open the CONCACAF Women's Olympic Qualifying tournament.
Herrera caught Panama goalkeeper Yenith Bailey out of her net for the opening go… [+1143 chars]",associated-press,Associated Press
